dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.333854,63.500934,0.005700,0.570026,28.501308,1425.065404,0.000056
0.020000,6.333854,63.500934,0.028501,1.710078,57.002616,1425.065404,0.000028
0.020000,6.356339,63.500934,0.074103,2.850131,57.002616,0.000000,6.283158
0.020000,6.424742,63.500929,0.142507,3.990183,57.002616,-0.000000,6.283076
0.020000,6.515946,63.500914,0.233711,5.130235,57.002616,0.000000,6.282966
0.020000,6.629951,63.500882,0.347716,6.270288,57.002616,0.000000,6.282830
0.020000,6.766758,63.500822,0.484522,7.410340,57.002616,0.000000,6.282668
0.020000,6.926365,63.500724,0.644130,8.550392,57.002616,-0.000000,6.282480
0.020000,7.108773,63.500576,0.826538,9.690445,57.002616,0.000000,6.282268
0.020000,7.313983,63.500364,1.031747,10.830497,57.002616,-0.000000,6.282032
0.020000,7.541993,63.500072,1.259758,11.970549,57.002616,0.000000,6.281774
0.020000,7.792804,63.499682,1.510569,13.110602,57.002616,-0.000000,6.281494
0.020000,8.066416,63.499178,1.784182,14.250654,57.002616,0.000000,6.281193
0.020000,8.362829,63.498540,2.080595,15.390706,57.002616,-0.000000,6.280873
0.020000,8.682043,63.497748,2.399810,16.530759,57.002616,0.000000,6.280536
0.020000,9.024057,63.496781,2.741826,17.670811,57.002616,0.000000,6.280183
0.020000,9.388872,63.495619,3.106643,18.810863,57.002616,-0.000000,6.279815
0.020000,9.776487,63.494238,3.494260,19.950916,57.002616,0.000000,6.279434
0.020000,10.186903,63.492618,3.904679,21.090968,57.002616,0.000000,6.279042
0.020000,10.620119,63.490736,4.337899,22.231020,57.002616,0.000000,6.278642
0.020000,11.076135,63.488570,4.793920,23.371073,57.002616,0.000000,6.278235
0.020000,11.554950,63.486101,5.272742,24.511125,57.002616,0.000000,6.277823
0.020000,12.056565,63.483306,5.774365,25.651177,57.002616,-0.000000,6.277409
0.020000,12.580980,63.480167,6.298789,26.791230,57.002616,0.000000,6.276994
0.020000,13.128194,63.476666,6.846014,27.931282,57.002616,0.000000,6.276583
0.020000,13.698207,63.472786,7.416040,29.071334,57.002616,0.000000,6.276177
0.020000,14.291019,63.468511,8.008868,30.211387,57.002616,-0.000000,6.275779
0.020000,14.906629,63.463831,8.624496,31.351439,57.002616,0.000000,6.275391
0.020000,15.545038,63.458735,9.262925,32.491491,57.002616,0.000000,6.275018
0.020000,16.206245,63.453215,9.924155,33.631544,57.002616,-0.000000,6.274661
0.020000,16.890251,63.447267,10.608187,34.771596,57.002616,0.000000,6.274325
0.020000,17.597055,63.440891,11.315019,35.911648,57.002616,0.000000,6.274012
0.020000,18.326656,63.434091,12.044653,37.051700,57.002616,0.000000,6.273725
0.020000,19.079056,63.426874,12.797087,38.191753,57.002616,0.000000,6.273469
0.020000,19.854254,63.419253,13.572323,39.331805,57.002616,0.000000,6.273247
0.020000,20.652251,63.411246,14.370360,40.471857,57.002616,0.000000,6.273062
0.020000,21.473046,63.402875,15.191197,41.611910,57.002616,0.000000,6.272919
0.020000,22.316640,63.394169,16.034836,42.751962,57.002616,-0.000000,6.272822
0.020000,23.183033,63.385165,16.901276,43.892014,57.002616,0.000000,6.272774
0.020000,24.072225,63.375905,17.790516,45.032067,57.002616,0.000000,6.272779
0.020000,24.984218,63.366439,18.702558,46.172119,57.002616,0.000000,6.272842
0.020000,25.919011,63.356824,19.637401,47.312171,57.002616,0.000000,6.272968
0.020000,26.876606,63.347127,20.595045,48.452224,57.002616,-0.000000,6.273161
0.020000,27.857003,63.337422,21.575490,49.592276,57.002616,0.000000,6.273425
0.020000,28.860203,63.327795,22.578736,50.732328,57.002616,-0.000000,6.273765
0.020000,29.886207,63.318339,23.604783,51.872381,57.002616,0.000000,6.274186
0.020000,30.935015,63.309159,24.653631,53.012433,57.002616,-0.000000,6.274693
0.020000,32.006628,63.300372,25.725281,54.152485,57.002616,0.000000,6.275291
0.020000,33.101047,63.292104,26.819731,55.292538,57.002616,-0.000000,6.275985
0.020000,34.218272,63.284496,27.936982,56.432590,57.002616,0.000000,6.276781
0.020000,35.358304,63.277700,29.077034,57.572642,57.002616,-0.000000,6.277683
0.020000,36.521143,63.271882,30.239888,58.712695,57.002616,0.000000,6.278698
0.020000,37.706788,63.267223,31.425542,59.852747,57.002616,-0.000000,6.279830
0.020000,38.915239,63.263918,32.633998,60.992799,57.002616,0.000000,6.281086
0.020000,40.146494,63.262175,33.865254,62.132852,57.002616,-0.000000,6.282472
0.020000,41.400552,63.262223,35.119312,63.272904,57.002616,0.000000,0.000807
0.020000,42.677408,63.264302,36.396170,64.412956,57.002616,-0.000000,0.002470
0.020000,43.977060,63.268675,37.695830,65.553009,57.002616,0.000000,0.004279
0.020000,45.299503,63.275619,39.018291,66.693061,57.002616,-0.000000,0.006243
0.020000,46.644728,63.285431,40.363552,67.833113,57.002616,0.000000,0.008366
0.020000,48.012729,63.298427,41.731615,68.973166,57.002616,0.000000,0.010656
0.020000,49.403494,63.314945,43.122479,70.113218,57.002616,0.000000,0.013119
0.020000,50.817012,63.335340,44.536144,71.253270,57.002616,0.000000,0.015761
0.020000,52.253266,63.359994,45.972610,72.393323,57.002616,0.000000,0.018590
0.020000,53.712238,63.389306,47.431877,73.533375,57.002616,0.000000,0.021611
0.020000,55.193906,63.423700,48.913945,74.673427,57.002616,0.000000,0.024833
0.020000,56.698245,63.463625,50.418814,75.813479,57.002616,0.000000,0.028261
0.020000,58.104559,63.505785,51.946484,76.953532,57.002616,0.000000,0.032470
0.020000,59.653850,63.565956,53.496955,78.093584,57.002616,0.000000,0.045242
0.020000,61.224995,63.647602,55.070227,79.233636,57.002616,0.000000,0.058679
0.020000,62.817602,63.752400,56.666301,80.373689,57.002616,-0.000000,0.072825
0.020000,64.431254,63.882140,58.285175,81.513741,57.002616,0.000000,0.087728
0.020000,66.065435,64.038733,59.926850,82.653793,57.002616,-0.000000,0.103438
0.020000,67.719521,64.224213,61.591327,83.793846,57.002616,0.000000,0.120009
0.020000,69.392827,64.440755,63.278604,84.933898,57.002616,-0.000000,0.137499
0.020000,71.084510,64.690669,64.988683,86.073950,57.002616,0.000000,0.155969
0.020000,72.793639,64.976418,66.721562,87.214003,57.002616,-0.000000,0.175484
0.020000,74.519105,65.300615,68.477243,88.354055,57.002616,0.000000,0.196111
0.020000,76.259606,65.666021,70.255724,89.494107,57.002616,0.000000,0.217921
0.020000,78.013675,66.075559,72.057007,90.634160,57.002616,0.000000,0.240985
0.020000,79.779603,66.532298,73.881091,91.774212,57.002616,0.000000,0.265378
0.020000,81.549976,67.037816,75.722275,92.344238,28.501308,-1425.065404,0.291090
0.020000,83.308439,67.590315,77.565551,91.983372,-18.043292,-2327.230019,0.317956
0.020000,85.038929,68.186474,79.395910,91.052480,-46.544600,-1425.065404,0.345772
0.020000,86.732522,68.823932,81.205559,89.912428,-57.002616,-522.900788,0.374399
0.020000,88.385812,69.501579,82.992407,88.772376,-57.002616,-0.000000,0.403768
0.020000,89.997413,70.218784,84.756454,87.632323,-57.002616,0.000000,0.433828
0.020000,91.565939,70.974708,86.497700,86.492271,-57.002616,-0.000000,0.464518
0.020000,93.090077,71.768315,88.216145,85.352219,-57.002616,0.000000,0.495766
0.020000,94.568588,72.598356,89.911789,84.212166,-57.002616,-0.000000,0.527490
0.020000,96.000338,73.463375,91.584632,83.072114,-57.002616,0.000000,0.559598
0.020000,97.384315,74.361706,93.234673,81.932062,-57.002616,0.000000,0.591991
0.020000,98.719669,75.291493,94.861914,80.792009,-57.002616,0.000000,0.624562
0.020000,100.005719,76.250698,96.466354,79.651957,-57.002616,0.000000,0.657201
0.020000,101.241973,77.237121,98.047992,78.511905,-57.002616,0.000000,0.689795
0.020000,102.428147,78.248431,99.606830,77.371852,-57.002616,0.000000,0.722230
0.020000,103.564171,79.282188,101.142866,76.231800,-57.002616,0.000000,0.754398
0.020000,104.650186,80.335875,102.656102,75.091748,-57.002616,0.000000,0.786192
0.020000,105.686553,81.406929,104.146536,73.951695,-57.002616,0.000000,0.817514
0.020000,106.673834,82.492769,105.614170,72.811643,-57.002616,0.000000,0.848273
0.020000,107.612789,83.590833,107.059002,71.671591,-57.002616,0.000000,0.878390
0.020000,108.504354,84.698595,108.481033,70.531538,-57.002616,0.000000,0.907794
0.020000,109.349625,85.813595,109.880264,69.391486,-57.002616,0.000000,0.936426
0.020000,110.149837,86.933458,111.256693,68.251434,-57.002616,-0.000000,0.964238
0.020000,110.906342,88.055909,112.610321,67.111382,-57.002616,0.000000,0.991194
0.020000,111.620587,89.178789,113.941148,65.971329,-57.002616,-0.000000,1.017265
0.020000,112.294088,90.300051,115.249174,64.831277,-57.002616,0.000000,1.042435
0.020000,112.928422,91.417791,116.534399,63.691225,-57.002616,-0.000000,1.066695
0.020000,113.525195,92.530225,117.796823,62.551172,-57.002616,0.000000,1.090044
0.020000,114.086028,93.635695,119.036446,61.411120,-57.002616,-0.000000,1.112486
0.020000,114.612550,94.732681,120.253268,60.271068,-57.002616,0.000000,1.134032
0.020000,115.106372,95.819768,121.447289,59.131015,-57.002616,-0.000000,1.154697
0.020000,115.569094,96.895688,122.618508,57.990963,-57.002616,0.000000,1.174502
0.020000,116.002273,97.959255,123.766927,56.850911,-57.002616,0.000000,1.193467
0.020000,116.407439,99.009411,124.892545,55.710858,-57.002616,0.000000,1.211617
0.020000,116.786067,100.045174,125.995362,54.570806,-57.002616,-0.000000,1.228977
0.020000,117.139595,101.065677,127.075377,53.430754,-57.002616,0.000000,1.245575
0.020000,117.469404,102.070124,128.132592,52.290701,-57.002616,-0.000000,1.261438
0.020000,117.776820,103.057790,129.167005,51.150649,-57.002616,0.000000,1.276594
0.020000,118.063120,104.028035,130.178618,50.010597,-57.002616,-0.000000,1.291069
0.020000,118.329521,104.980272,131.167429,48.870544,-57.002616,0.000000,1.304892
0.020000,118.577191,105.913989,132.133439,47.730492,-57.002616,-0.000000,1.318088
0.020000,118.807239,106.828705,133.076649,46.590440,-57.002616,0.000000,1.330684
0.020000,119.020726,107.724013,133.997057,45.450387,-57.002616,-0.000000,1.342705
0.020000,119.218652,108.599510,134.894664,44.310335,-57.002616,0.000000,1.354175
0.020000,119.401980,109.454888,135.769470,43.170283,-57.002616,0.000000,1.365118
0.020000,119.571616,110.289830,136.621476,42.030230,-57.002616,0.000000,1.375555
0.020000,119.728420,111.104070,137.450680,40.890178,-57.002616,0.000000,1.385508
0.020000,119.873209,111.897367,138.257083,39.750126,-57.002616,0.000000,1.394997
0.020000,120.006756,112.669508,139.040685,38.610073,-57.002616,0.000000,1.404042
0.020000,120.129791,113.420288,139.801486,37.470021,-57.002616,0.000000,1.412660
0.020000,120.243007,114.149544,140.539485,36.329969,-57.002616,0.000000,1.420869
0.020000,120.347063,114.857140,141.254684,35.189916,-57.002616,-0.000000,1.428685
0.020000,120.442571,115.542916,141.947082,34.049864,-57.002616,0.000000,1.436125
0.020000,120.530120,116.206765,142.616679,32.909812,-57.002616,0.000000,1.443201
0.020000,120.610259,116.848569,143.263475,31.769760,-57.002616,0.000000,1.449929
0.020000,120.683512,117.468248,143.887469,30.629707,-57.002616,0.000000,1.456320
0.020000,120.750366,118.065708,144.488663,29.489655,-57.002616,0.000000,1.462388
0.020000,120.811287,118.640882,145.067055,28.349603,-57.002616,0.000000,1.468144
0.020000,120.866709,119.193703,145.622647,27.209550,-57.002616,-0.000000,1.473598
0.020000,120.917042,119.724118,146.155437,26.069498,-57.002616,0.000000,1.478761
0.020000,120.962671,120.232054,146.665427,24.929446,-57.002616,0.000000,1.483641
0.020000,121.003958,120.717487,147.152615,23.789393,-57.002616,0.000000,1.488248
0.020000,121.041242,121.180375,147.617003,22.649341,-57.002616,-0.000000,1.492590
0.020000,121.074841,121.620687,148.058589,21.509289,-57.002616,0.000000,1.496675
0.020000,121.105051,122.038377,148.477374,20.369236,-57.002616,0.000000,1.500510
0.020000,121.132151,122.433443,148.873358,19.229184,-57.002616,0.000000,1.504101
0.020000,121.156396,122.805831,149.246542,18.089132,-57.002616,-0.000000,1.507454
0.020000,121.178029,123.155547,149.596924,16.949079,-57.002616,0.000000,1.510577
0.020000,121.197269,123.482560,149.924505,15.809027,-57.002616,0.000000,1.513472
0.020000,121.214323,123.786857,150.229285,14.668975,-57.002616,0.000000,1.516147
0.020000,121.229380,124.068435,150.511264,13.528922,-57.002616,-0.000000,1.518604
0.020000,121.242610,124.327280,150.770442,12.388870,-57.002616,0.000000,1.520849
0.020000,121.254171,124.563372,151.006819,11.248818,-57.002616,-0.000000,1.522884
0.020000,121.264204,124.776706,151.220394,10.108765,-57.002616,0.000000,1.524713
0.020000,121.272838,124.967292,151.411169,8.968713,-57.002616,0.000000,1.526339
0.020000,121.280183,125.135098,151.579143,7.828661,-57.002616,-0.000000,1.527765
0.020000,121.286339,125.280144,151.724316,6.688608,-57.002616,0.000000,1.528993
0.020000,121.291390,125.402411,151.846687,5.548556,-57.002616,0.000000,1.530025
0.020000,121.295407,125.501897,151.946258,4.408504,-57.002616,0.000000,1.530862
0.020000,121.298447,125.578612,152.023027,3.268451,-57.002616,0.000000,1.531507
0.020000,121.300555,125.632535,152.076996,2.128399,-57.002616,-0.000000,1.531959
