dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.333088,77.250934,0.005700,0.570026,28.501308,1425.065404,0.000056
0.020000,6.333469,77.250934,0.006081,0.019018,-27.550391,-2802.584958,0.000028
0.020000,6.356713,77.250934,0.029325,1.162207,57.159428,4235.490964,6.283158
0.020000,6.426251,77.250929,0.098863,3.476910,115.735163,2928.786732,6.283076
0.020000,6.518962,77.250914,0.191574,4.635528,57.930896,-2890.213342,6.282966
0.020000,6.634839,77.250881,0.307450,5.793844,57.915805,-0.754568,6.282830
0.020000,6.773874,77.250820,0.446486,6.951783,57.896940,-0.943246,6.282668
0.020000,6.936060,77.250721,0.608671,8.109269,57.874302,-1.131884,6.282480
0.020000,7.121384,77.250571,0.793996,9.266227,57.847892,-1.320520,6.282268
0.020000,7.329836,77.250355,1.002448,10.422581,57.817705,-1.509312,6.282032
0.020000,7.561401,77.250058,1.234013,11.578256,57.783746,-1.697945,6.281774
0.020000,7.816064,77.249663,1.488676,12.733176,57.746017,-1.886473,6.281494
0.020000,8.093809,77.249151,1.766422,13.887266,57.704509,-2.075383,6.281193
0.020000,8.394617,77.248503,2.067231,15.040451,57.659231,-2.263914,6.280873
0.020000,8.718469,77.247700,2.391084,16.192655,57.610177,-2.452717,6.280536
0.020000,9.065344,77.246719,2.737960,17.343802,57.557352,-2.641218,6.280183
0.020000,9.435218,77.245540,3.107836,18.493817,57.500749,-2.830194,6.279815
0.020000,9.828068,77.244141,3.500689,19.642624,57.440377,-3.018584,6.279434
0.020000,10.243868,77.242500,3.916492,20.790149,57.376231,-3.207270,6.279042
0.020000,10.682590,77.240594,4.355218,21.936315,57.308315,-3.395808,6.278642
0.020000,11.144206,77.238402,4.816839,23.081047,57.236618,-3.584854,6.278235
0.020000,11.628685,77.235903,5.301324,24.224271,57.161161,-3.772875,6.277823
0.020000,12.135995,77.233077,5.808642,25.365909,57.081927,-3.961665,6.277409
0.020000,12.666103,77.229904,6.338760,26.505888,56.998925,-4.150106,6.276994
0.020000,13.218975,77.226366,6.891643,27.644131,56.912146,-4.338946,6.276583
0.020000,13.794573,77.222448,7.467254,28.780563,56.821613,-4.526665,6.276177
0.020000,14.392859,77.218134,8.065556,29.915109,56.727301,-4.715626,6.275779
0.020000,15.013795,77.213414,8.686510,31.047693,56.629220,-4.904005,6.275391
0.020000,15.657339,77.208276,9.330075,32.178241,56.527372,-5.092441,6.275018
0.020000,16.323450,77.202715,9.996208,33.306676,56.421766,-5.280296,6.274661
0.020000,17.012082,77.196727,10.684867,34.432924,56.312380,-5.469287,6.274325
0.020000,17.723191,77.190313,11.396005,35.556908,56.199236,-5.657207,6.274012
0.020000,18.456731,77.183476,12.129576,36.678555,56.082316,-5.845985,6.273725
0.020000,19.212652,77.176225,12.885532,37.797787,55.961636,-6.033999,6.273469
