dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.334619,49.750935,0.005700,0.570026,28.501308,1425.065404,0.000056
0.020000,6.334239,49.750934,0.006081,0.019018,-27.550391,-2802.584958,0.000028
0.020000,6.355965,49.750934,0.027806,1.086284,53.363306,4045.684847,6.283158
0.020000,6.423233,49.750930,0.095074,3.363404,113.855966,3024.632993,6.283076
0.020000,6.512931,49.750915,0.184772,4.484890,56.074336,-2889.081489,6.282966
0.020000,6.625064,49.750883,0.296906,5.606679,56.089428,0.754583,6.282830
0.020000,6.759641,49.750824,0.431483,6.728845,56.108292,0.943215,6.282668
0.020000,6.916670,49.750728,0.588512,7.851463,56.130930,1.131898,6.282480
0.020000,7.096163,49.750582,0.768004,8.974610,56.157342,1.320596,6.282268
0.020000,7.298130,49.750373,0.969971,10.098361,56.187525,1.509157,6.282032
0.020000,7.522585,49.750085,1.194427,11.222790,56.221483,1.697881,6.281774
0.020000,7.769544,49.749702,1.441387,12.347975,56.259217,1.886717,6.281494
0.020000,8.039024,49.749205,1.710866,13.473989,56.300721,2.075187,6.281193
0.020000,8.331041,49.748577,2.002885,14.600909,56.346001,2.264027,6.280873
0.020000,8.645617,49.747796,2.317461,15.728810,56.395053,2.452598,6.280536
0.020000,8.982771,49.746843,2.654616,16.857768,56.447882,2.641451,6.280183
0.020000,9.342526,49.745697,3.014373,17.987858,56.504479,2.829825,6.279815
0.020000,9.724907,49.744335,3.396756,19.119155,56.564854,3.018745,6.279434
0.020000,10.129938,49.742736,3.801791,20.251735,56.629000,3.207344,6.279042
0.020000,10.557647,49.740877,4.229505,21.385673,56.696921,3.396049,6.278642
0.020000,11.008063,49.738739,4.679926,22.521045,56.768606,3.584212,6.278235
0.020000,11.481216,49.736298,5.153084,23.657927,56.844072,3.773323,6.277823
0.020000,11.977136,49.733535,5.649012,24.796393,56.923305,3.961627,6.277409
0.020000,12.495857,49.730431,6.167742,25.936519,57.006309,4.150212,6.276994
0.020000,13.037413,49.726965,6.709310,27.078380,57.093076,4.338345,6.276583
0.020000,13.601841,49.723123,7.273751,28.222053,57.183626,4.527516,6.276177
0.020000,14.189178,49.718889,7.861103,29.367612,57.277934,4.715415,6.275779
0.020000,14.799463,49.714249,8.471406,30.515132,57.376011,4.903834,6.275391
0.020000,15.432737,49.709193,9.104700,31.664689,57.477854,5.092159,6.275018
0.020000,16.089041,49.703714,9.761027,32.816358,57.583475,5.281031,6.274661
0.020000,16.768420,49.697807,10.440431,33.970215,57.692850,5.468778,6.274325
0.020000,17.470918,49.691470,11.142958,35.126335,57.806002,5.657593,6.274012
0.020000,18.196582,49.684706,11.868654,36.284794,57.922914,5.845600,6.273725
0.020000,18.945461,49.677523,12.617567,37.445666,58.043603,6.034430,6.273469
0.020000,19.717604,49.669932,13.389747,38.609027,58.168053,6.222504,6.273247
0.020000,20.513063,49.661950,14.185247,39.774952,58.296278,6.411235,6.273062
0.020000,21.331891,49.653599,15.004117,40.943518,58.428278,6.599991,6.272919
0.020000,22.174142,49.644908,15.846413,42.114799,58.564047,6.788458,6.272822
0.020000,23.039873,49.635911,16.712190,43.288871,58.703595,6.977401,6.272774
