dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.023076,265.667379,0.000030,0.005952,0.595238,59.523810,6.281262
0.010000,0.023050,265.667379,0.000055,0.002557,-0.339508,-93.474602,6.281264
0.010000,0.022993,265.667379,0.000113,0.005754,0.319664,65.917146,6.281269
0.010000,0.022891,265.667379,0.000215,0.010229,0.447531,12.786772,6.281278
0.010000,0.022731,265.667380,0.000375,0.015983,0.575403,12.787125,6.281291
0.010000,0.022501,265.667380,0.000605,0.023016,0.703280,12.787703,6.281310
0.010000,0.022187,265.667381,0.000918,0.031328,0.831165,12.788563,6.281336
0.010000,0.021778,265.667382,0.001328,0.040918,0.959063,12.789760,6.281370
0.010000,0.021260,265.667382,0.001846,0.051788,1.086976,12.791350,6.281414
0.010000,0.020621,265.667384,0.002485,0.063937,1.214910,12.793388,6.281467
0.010000,0.019847,265.667385,0.003259,0.077366,1.342869,12.795930,6.281531
0.010000,0.018926,265.667386,0.004179,0.092075,1.470860,12.799030,6.281608
0.010000,0.017846,265.667388,0.005260,0.108063,1.598887,12.802743,6.281698
0.010000,0.016592,265.667390,0.006513,0.125333,1.726958,12.807121,6.281803
0.010000,0.015154,265.667392,0.007952,0.143884,1.855081,12.812218,6.281923
0.010000,0.013516,265.667394,0.009589,0.163716,1.983261,12.818084,6.282059
0.010000,0.011668,265.667396,0.011438,0.184831,2.111509,12.824771,6.282213
0.010000,0.009596,265.667397,0.013510,0.207230,2.239832,12.832328,6.282386
0.010000,0.007287,265.667399,0.015819,0.230912,2.368240,12.840802,6.282578
0.010000,0.004728,265.667400,0.018378,0.255880,2.496743,12.850240,6.282791
0.010000,0.001907,265.667401,0.021199,0.282133,2.625350,12.860685,6.283026
0.010000,0.004348,265.667402,0.023641,0.244155,-3.797824,-642.317405,0.000099
0.010000,0.016712,265.667404,0.036005,1.236403,99.224831,10302.265541,0.000381
0.010000,0.030171,265.667412,0.049464,1.345896,10.949311,-8827.552041,0.000689
0.010000,0.044771,265.667424,0.064063,1.459970,11.407347,45.803654,0.001022
0.010000,0.060557,265.667443,0.079849,1.578610,11.864055,45.670779,0.001383
0.010000,0.077575,265.667470,0.096867,1.701804,12.319327,45.527252,0.001772
0.010000,0.095884,265.667506,0.115177,1.830917,12.911372,59.204460,0.002191
0.010000,0.115525,265.667554,0.134818,1.964119,13.320166,40.879404,0.002641
0.010000,0.136535,265.667614,0.155828,2.101035,13.691581,37.141507,0.003122
0.010000,0.158960,265.667690,0.178253,2.242440,14.140493,44.891212,0.003636
0.010000,0.182860,265.667784,0.202153,2.390032,14.759263,61.876950,0.004185
0.010000,0.208276,265.667897,0.227569,2.541644,15.161125,40.186184,0.004768
0.010000,0.235241,265.668034,0.254535,2.696571,15.492772,33.164704,0.005387
0.010000,0.263814,265.668198,0.283108,2.857263,16.069186,57.641460,0.006044
0.010000,0.294045,265.668391,0.313340,3.023184,16.592105,52.291871,0.006740
0.010000,0.325958,265.668618,0.345254,3.191447,16.826308,23.420346,0.007475
0.010000,0.359625,265.668882,0.378922,3.366805,17.535777,70.946906,0.008251
0.010000,0.395075,265.669189,0.414373,3.545100,17.829464,29.368693,0.009069
0.010000,0.432353,265.669543,0.451653,3.727946,18.284665,45.520058,0.009930
0.010000,0.471518,265.669950,0.490819,3.916675,18.872823,58.815753,0.010836
0.010000,0.512593,265.670415,0.531897,4.107801,19.112685,23.986238,0.011787
0.010000,0.555649,265.670944,0.574957,4.305960,19.815858,70.317312,0.012786
0.010000,0.600707,265.671544,0.620019,4.506179,20.021877,20.601922,0.013832
0.010000,0.647829,265.672221,0.667146,4.712719,20.654041,63.216349,0.014927
0.010000,0.697052,265.672984,0.716374,4.922860,21.014114,36.007279,0.016073
0.010000,0.748412,265.673840,0.767741,5.136690,21.383004,36.889052,0.017270
0.010000,0.801979,265.674799,0.821317,5.357601,22.091099,70.809500,0.018520
0.010000,0.857770,265.675869,0.877118,5.580095,22.249395,15.829555,0.019825
0.010000,0.915834,265.677060,0.935195,5.807623,22.752726,50.333165,0.021185
0.010000,0.976236,265.678382,0.995611,6.041681,23.405884,65.315738,0.022602
0.010000,1.038998,265.679847,1.058390,6.277856,23.617416,21.153212,0.024077
0.010000,1.104164,265.681467,1.123576,6.518616,24.076044,45.862852,0.025611
0.010000,1.171780,265.683253,1.191215,6.763924,24.530764,45.471988,0.027206
0.010000,1.241897,265.685219,1.261360,7.014499,25.057523,52.675897,0.028863
0.010000,1.314556,265.687379,1.334051,7.269078,25.457901,40.037805,0.030584
0.010000,1.389793,265.689748,1.409326,7.527463,25.838464,38.056305,0.032369
0.010000,1.467652,265.692341,1.487228,7.790220,26.275720,43.725558,0.034221
0.010000,1.548175,265.695175,1.567801,8.057302,26.708272,43.255246,0.036140
0.010000,1.631404,265.698267,1.651088,8.328662,27.135982,42.770944,0.038128
0.010000,1.717381,265.701636,1.737130,8.604249,27.558718,42.273628,0.040186
0.010000,1.806145,265.705299,1.825970,8.884013,27.976362,41.764377,0.042316
0.010000,1.897738,265.709279,1.917649,9.167901,28.388806,41.244376,0.044520
0.010000,1.992208,265.713595,2.012218,9.456890,28.898860,51.005403,0.046798
0.010000,2.089592,265.718270,2.109714,9.749624,29.273386,37.452643,0.049152
0.010000,2.189924,265.723328,2.210173,10.045882,29.625860,35.247431,0.051584
0.010000,2.293240,265.728792,2.313634,10.346049,30.016664,39.080357,0.054096
0.010000,2.399592,265.734689,2.420149,10.651527,30.547790,53.112635,0.056688
0.010000,2.509017,265.741046,2.529759,10.960983,30.945582,39.779169,0.059362
0.010000,2.621538,265.747889,2.642487,11.272855,31.187240,24.165803,0.062120
0.010000,2.737221,265.755249,2.758404,11.591680,31.882477,69.523704,0.064963
0.010000,2.856075,265.763156,2.877521,11.911679,31.999933,11.745633,0.067893
0.010000,2.978162,265.771643,2.999903,12.238202,32.652285,65.235180,0.070912
0.010000,3.103493,265.780741,3.125564,12.566083,32.788147,13.586233,0.074021
0.010000,3.232140,265.790488,3.254579,12.901528,33.544446,75.629842,0.077221
0.010000,3.364109,265.800918,3.386959,13.238026,33.649813,10.536703,0.080515
0.010000,3.499440,265.812068,3.522749,13.578958,34.093215,44.340250,0.083903
0.010000,3.638188,265.823980,3.662008,13.925896,34.693788,60.057263,0.087388
0.010000,3.780374,265.836694,3.804760,14.275263,34.936657,24.286894,0.090971
0.010000,3.926031,265.850252,3.951048,14.628712,35.344932,40.827501,0.094654
0.010000,4.075197,265.864698,4.100911,14.986360,35.764817,41.988508,0.098437
0.010000,4.227906,265.880078,4.254393,15.348152,36.179241,41.442372,0.102324
0.010000,4.384192,265.896441,4.411533,15.714038,36.588534,40.929288,0.106314
0.010000,4.544088,265.913836,4.572373,16.083969,36.993078,40.454418,0.110411
0.010000,4.707604,265.932311,4.736929,16.455625,37.165614,17.253635,0.114615
0.010000,4.874725,265.951915,4.905196,16.826701,37.107593,-5.802105,0.118926
0.010000,5.045437,265.972696,5.077168,17.197236,37.053510,-5.408274,0.123344
0.010000,5.219744,265.994706,5.252859,17.569061,37.182530,12.901959,0.127870
0.010000,5.397612,266.017993,5.432245,17.938649,36.958802,-22.372758,0.132505
0.010000,5.579029,266.042612,5.615325,18.307925,36.927622,-3.117999,0.137248
0.010000,5.764000,266.068616,5.802115,18.679008,37.108305,18.068289,0.142099
0.010000,5.952484,266.096058,5.992587,19.047174,36.816534,-29.177145,0.147059
0.010000,6.144498,266.124998,6.186769,19.418253,37.107975,29.144136,0.152128
0.010000,6.340003,266.155490,6.384637,19.786799,36.854594,-25.338155,0.157305
0.010000,6.538995,266.187592,6.586202,20.156525,36.972540,11.794632,0.162591
0.010000,6.741466,266.221366,6.791471,20.526889,37.036460,6.392025,0.167986
0.010000,6.947394,266.256871,7.000437,20.896544,36.965471,-7.098965,0.173489
0.010000,7.156765,266.294169,7.213104,21.266769,37.022535,5.706472,0.179099
0.010000,7.369569,266.333323,7.429480,21.637595,37.082520,5.998477,0.184818
0.010000,7.585793,266.374399,7.649571,22.009060,37.146518,6.399819,0.190644
0.010000,7.805423,266.417461,7.873383,22.381216,37.215643,6.912436,0.196576
0.010000,8.028447,266.462576,8.100924,22.754126,37.291021,7.537843,0.202614
0.010000,8.254851,266.509812,8.332203,23.127864,37.373792,8.277099,0.208758
0.010000,8.484620,266.559237,8.567228,23.502515,37.465100,9.130780,0.215006
0.010000,8.717741,266.610923,8.806010,23.878176,37.566089,10.098959,0.221357
0.010000,8.954206,266.664940,9.048566,24.255663,37.748686,18.259704,0.227810
0.010000,9.194005,266.721363,9.294914,24.634725,37.906174,15.748754,0.234365
0.010000,9.437115,266.780261,9.545057,25.014300,37.957540,5.136655,0.241019
0.010000,9.683541,266.841715,9.799031,25.397379,38.307923,35.038241,0.247772
0.010000,9.933255,266.905796,10.056835,25.780466,38.308600,0.067745,0.254621
0.010000,10.186265,266.972586,10.318512,26.167690,38.722491,41.389051,0.261565
0.010000,10.442545,267.042159,10.584068,26.555625,38.793441,7.095035,0.268602
0.010000,10.702090,267.114596,10.853531,26.946297,39.067267,27.382529,0.275729
0.010000,10.964897,267.189979,11.126936,27.340516,39.421895,35.462825,0.282946
0.010000,11.230952,267.268389,11.404305,27.736882,39.636602,21.470692,0.290248
0.010000,11.500247,267.349908,11.685668,28.136288,39.940559,30.395732,0.297635
0.010000,11.772775,267.434620,11.971058,28.538983,40.269485,32.892585,0.305102
0.010000,12.048528,267.522610,12.260509,28.945117,40.613424,34.393952,0.312648
0.010000,12.327499,267.613964,12.554058,29.354849,40.973200,35.977585,0.320269
0.010000,12.609683,267.708768,12.851741,29.768345,41.349554,37.635361,0.327961
0.010000,12.895074,267.807111,13.153601,30.186026,41.768090,41.853637,0.335723
0.010000,13.183670,267.909081,13.459682,30.608100,42.207461,43.937038,0.343550
0.010000,13.475461,268.014766,13.770023,31.034041,42.594052,38.659095,0.351438
0.010000,13.770444,268.124257,14.084670,31.464726,43.068482,47.443054,0.359384
0.010000,14.068618,268.237646,14.403676,31.900620,43.589409,52.092725,0.367383
0.010000,14.369974,268.355021,14.727084,32.340784,44.016433,42.702340,0.375432
0.010000,14.674516,268.476477,15.054952,32.786793,44.600910,58.447740,0.383527
0.010000,14.982237,268.602105,15.387328,33.237639,45.084635,48.372445,0.391662
0.010000,15.293133,268.731996,15.724268,33.693933,45.629315,54.468014,0.399833
0.010000,15.607207,268.866246,16.065831,34.156372,46.243918,61.460342,0.408036
0.010000,15.924454,269.004947,16.412074,34.624229,46.785685,54.176663,0.416266
0.010000,16.244873,269.148191,16.763054,35.098038,47.380979,59.529450,0.424518
0.010000,16.568463,269.296071,17.118834,35.577966,47.992722,61.174228,0.432786
0.010000,16.895223,269.448682,17.479475,36.064111,48.614503,62.178191,0.441066
0.010000,17.225152,269.606114,17.845041,36.556570,49.245934,63.143105,0.449352
0.010000,17.558250,269.768461,18.215595,37.055435,49.886526,64.059201,0.457639
0.010000,17.894515,269.935814,18.591203,37.560792,50.535699,64.917254,0.465921
0.010000,18.233949,270.108263,18.971931,38.072779,51.198687,66.298808,0.474194
