dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.023076,241.667423,0.000030,0.005952,0.595238,59.523810,6.281262
0.010000,-0.023050,241.667423,0.000055,0.002557,-0.339508,-93.474602,6.281264
0.010000,-0.022993,241.667423,0.000113,0.005754,0.319664,65.917146,6.281269
0.010000,-0.022891,241.667423,0.000215,0.010229,0.447531,12.786772,6.281278
0.010000,-0.022731,241.667423,0.000375,0.015983,0.575403,12.787125,6.281291
0.010000,-0.022501,241.667422,0.000605,0.023016,0.703280,12.787703,6.281310
0.010000,-0.022187,241.667422,0.000918,0.031328,0.831165,12.788563,6.281336
0.010000,-0.021778,241.667421,0.001328,0.040918,0.959063,12.789760,6.281370
0.010000,-0.021260,241.667420,0.001846,0.051788,1.086976,12.791350,6.281414
0.010000,-0.020621,241.667419,0.002485,0.063937,1.214910,12.793388,6.281467
0.010000,-0.019847,241.667418,0.003259,0.077366,1.342869,12.795930,6.281531
0.010000,-0.018926,241.667416,0.004179,0.092075,1.470860,12.799030,6.281608
0.010000,-0.017846,241.667415,0.005260,0.108063,1.598887,12.802743,6.281698
0.010000,-0.016592,241.667413,0.006513,0.125333,1.726958,12.807121,6.281803
0.010000,-0.015154,241.667411,0.007952,0.143884,1.855081,12.812218,6.281923
0.010000,-0.013516,241.667409,0.009589,0.163716,1.983261,12.818084,6.282059
0.010000,-0.011668,241.667407,0.011438,0.184831,2.111509,12.824771,6.282213
0.010000,-0.009596,241.667405,0.013510,0.207230,2.239832,12.832328,6.282386
0.010000,-0.007287,241.667404,0.015819,0.230912,2.368240,12.840802,6.282578
0.010000,-0.004728,241.667402,0.018378,0.255880,2.496743,12.850240,6.282791
0.010000,-0.001907,241.667401,0.021199,0.282133,2.625350,12.860685,6.283026
0.010000,0.006730,241.667402,0.029836,0.863644,58.151123,5552.577362,0.000099
0.010000,0.025868,241.667406,0.048974,1.913813,105.016824,4686.570079,0.000381
0.010000,0.046704,241.667417,0.069809,2.083580,16.976712,-8804.011159,0.000689
0.010000,0.069309,241.667437,0.092415,2.260511,17.693171,71.645876,0.001022
0.010000,0.093755,241.667466,0.116861,2.444598,18.408623,71.545170,0.001383
0.010000,0.120113,241.667508,0.143219,2.635828,19.122985,71.436255,0.001772
0.010000,0.148476,241.667564,0.171582,2.836332,20.050466,92.748072,0.002191
0.010000,0.178909,241.667637,0.202015,3.043287,20.695467,64.500035,0.002641
0.010000,0.211470,241.667731,0.234576,3.256126,21.283889,58.842220,0.003122
0.010000,0.246231,241.667849,0.269337,3.476064,21.993844,70.995490,0.003636
0.010000,0.283288,241.667994,0.306394,3.705752,22.968784,97.494005,0.004185
0.010000,0.322706,241.668170,0.345813,3.941844,23.609243,64.045979,0.004768
0.010000,0.364538,241.668383,0.387646,4.183269,24.142493,53.324939,0.005387
0.010000,0.408876,241.668636,0.431984,4.433843,25.057318,91.482513,0.006044
0.010000,0.455802,241.668936,0.478912,4.692756,25.891339,83.402143,0.006740
0.010000,0.505357,241.669288,0.528467,4.955549,26.279261,38.792162,0.007475
0.010000,0.557651,241.669699,0.580763,5.229622,27.407319,112.805793,0.008251
0.010000,0.612735,241.670176,0.635849,5.508543,27.892117,48.479843,0.009069
0.010000,0.670680,241.670727,0.693797,5.794844,28.630136,73.801814,0.009930
0.010000,0.731583,241.671359,0.754703,6.090620,29.577535,94.739970,0.010836
0.010000,0.795484,241.672082,0.818608,6.390480,29.986032,40.849682,0.011787
0.010000,0.862496,241.672905,0.885625,6.701660,31.118019,113.198734,0.012786
0.010000,0.932654,241.673839,0.955789,7.016454,31.479359,36.133906,0.013832
0.010000,1.006062,241.674895,1.029205,7.341524,32.507045,102.768632,0.014927
0.010000,1.082779,241.676084,1.105931,7.672667,33.114260,60.721496,0.016073
0.010000,1.162868,241.677419,1.186032,8.010049,33.738223,62.396326,0.017270
0.010000,1.246445,241.678915,1.269622,8.358996,34.894670,115.644704,0.018520
0.010000,1.333539,241.680585,1.356731,8.710966,35.196986,30.231546,0.019825
0.010000,1.424233,241.682445,1.447445,9.071375,36.040970,84.398402,0.021185
0.010000,1.518637,241.684512,1.541871,9.442606,37.123080,108.211057,0.022602
0.010000,1.616788,241.686803,1.640049,9.817795,37.518928,39.584756,0.024077
0.010000,1.718765,241.689337,1.742057,10.200841,38.304548,78.562066,0.025611
0.010000,1.824645,241.692134,1.847975,10.591722,39.088070,78.352205,0.027206
0.010000,1.934518,241.695215,1.957891,10.991608,39.988614,90.054335,0.028863
0.010000,2.048453,241.698603,2.071876,11.398562,40.695414,70.680060,0.030584
0.010000,2.166518,241.702320,2.190000,11.812313,41.375130,67.971524,0.032369
0.010000,2.288788,241.706393,2.312337,12.233792,42.147883,77.275310,0.034221
0.010000,2.415339,241.710847,2.438967,12.662967,42.917525,76.964233,0.036140
0.010000,2.546247,241.715710,2.569965,13.099806,43.683847,76.632202,0.038128
0.010000,2.681586,241.721012,2.705408,13.544272,44.446639,76.279177,0.040186
0.010000,2.821430,241.726784,2.845371,13.996329,45.205690,75.905141,0.042316
0.010000,2.965853,241.733058,2.989931,14.455937,45.960791,75.510099,0.044520
0.010000,3.114945,241.739870,3.139177,14.924679,46.874206,91.341502,0.046798
0.010000,3.268772,241.747256,3.293182,15.400461,47.578159,70.395317,0.049152
0.010000,3.427400,241.755253,3.452012,15.882972,48.251119,67.295913,0.051584
0.010000,3.590900,241.763900,3.615740,16.372856,48.988419,73.730076,0.054096
0.010000,3.759365,241.773241,3.784464,16.872375,49.951863,96.344368,0.056688
0.010000,3.932867,241.783320,3.958259,17.379457,50.708280,75.641732,0.059362
0.010000,4.111454,241.794180,4.137175,17.891660,51.220279,51.199864,0.062120
0.010000,4.295245,241.805874,4.321337,18.416216,52.455565,123.528575,0.064963
0.010000,4.484267,241.818449,4.510777,18.943981,52.776488,32.092364,0.067893
0.010000,4.678632,241.831960,4.705612,19.483484,53.950373,117.388487,0.070912
0.010000,4.878372,241.846460,4.905877,20.026533,54.304875,35.450159,0.074021
0.010000,5.083614,241.862010,5.111708,20.583034,55.650095,134.521980,0.077221
0.010000,5.294383,241.878668,5.323134,21.142627,55.959321,30.922662,0.080515
0.010000,5.510757,241.896496,5.540241,21.710713,56.808556,84.923442,0.083903
0.010000,5.732838,241.915563,5.763139,22.289818,57.910563,110.200748,0.087388
0.010000,5.960672,241.935935,5.991881,22.874226,58.440705,53.014231,0.090971
0.010000,6.194327,241.957683,6.226547,23.466573,59.234797,79.409192,0.094654
0.010000,6.433877,241.980883,6.467218,24.067038,60.046487,81.168934,0.098437
0.010000,6.679390,242.005610,6.713973,24.675515,60.847653,80.116627,0.102324
0.010000,6.930934,242.031946,6.966892,25.291894,61.637942,79.028869,0.106314
0.010000,7.188575,242.059975,7.226052,25.916064,62.417005,77.906379,0.110411
0.010000,7.452339,242.089777,7.491495,26.544234,62.817013,40.000750,0.114615
0.010000,7.722214,242.121435,7.763221,27.172606,62.837173,2.015991,0.118926
