dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.023080,265.667379,0.000012,0.002495,0.249521,24.952055,6.281262
0.010000,0.023069,265.667379,0.000023,0.001072,-0.142320,-39.184046,6.281263
0.010000,0.023045,265.667379,0.000047,0.002412,0.134001,27.632086,6.281265
0.010000,0.023002,265.667379,0.000090,0.004288,0.187602,5.360079,6.281268
0.010000,0.022935,265.667379,0.000157,0.006700,0.241203,5.360141,6.281274
0.010000,0.022838,265.667380,0.000254,0.009648,0.294806,5.360242,6.281282
0.010000,0.022707,265.667380,0.000385,0.013132,0.348410,5.360394,6.281293
0.010000,0.022536,265.667380,0.000557,0.017152,0.402016,5.360604,6.281307
0.010000,0.022319,265.667381,0.000774,0.021709,0.455624,5.360884,6.281325
0.010000,0.022050,265.667381,0.001042,0.026801,0.509237,5.361242,6.281348
0.010000,0.021726,265.667382,0.001366,0.032430,0.562854,5.361690,6.281375
0.010000,0.021340,265.667382,0.001752,0.038594,0.616476,5.362236,6.281407
0.010000,0.020887,265.667383,0.002205,0.045295,0.670105,5.362890,6.281445
0.010000,0.020362,265.667384,0.002730,0.052533,0.723742,5.363662,6.281488
0.010000,0.019759,265.667385,0.003333,0.060307,0.777387,5.364562,6.281539
0.010000,0.019073,265.667386,0.004019,0.068617,0.831043,5.365600,6.281596
0.010000,0.018298,265.667387,0.004794,0.077464,0.884711,5.366783,6.281660
0.010000,0.017430,265.667389,0.005662,0.086848,0.938392,5.368123,6.281733
0.010000,0.016462,265.667390,0.006630,0.096769,0.992089,5.369628,6.281813
0.010000,0.015390,265.667391,0.007702,0.107227,1.045802,5.371308,6.281903
0.010000,0.014207,265.667393,0.008885,0.118222,1.099533,5.373171,6.282001
0.010000,0.012910,265.667394,0.010182,0.129755,1.153286,5.375226,6.282109
0.010000,0.011492,265.667396,0.011600,0.141826,1.207060,5.377483,6.282228
0.010000,0.009947,265.667397,0.013145,0.154434,1.260860,5.379948,6.282356
0.010000,0.008271,265.667398,0.014821,0.167581,1.314686,5.382632,6.282496
0.010000,0.006459,265.667400,0.016633,0.181267,1.368542,5.385541,6.282647
0.010000,0.004504,265.667400,0.018588,0.195491,1.422428,5.388684,6.282810
0.010000,0.002401,265.667401,0.020691,0.210254,1.476349,5.392069,6.282985
0.010000,0.000146,265.667401,0.022946,0.225557,1.530306,5.395702,6.283173
0.010000,0.008286,265.667402,0.031087,0.814059,58.850169,5731.986327,0.000189
