dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,253.667401,0.000012,0.002495,0.249521,24.952055,6.281262
0.010000,0.000000,253.667401,0.000062,0.007486,0.499041,24.952055,6.281263
0.010000,0.000000,253.667401,0.000175,0.014971,0.748562,24.952055,6.281265
0.010000,0.000000,253.667401,0.000374,0.024952,0.998082,24.952055,6.281268
0.010000,0.000000,253.667401,0.000686,0.037428,1.247603,24.952055,6.281274
0.010000,0.000000,253.667401,0.001135,0.052399,1.497123,24.952055,6.281282
0.010000,0.000000,253.667401,0.001747,0.069866,1.746644,24.952055,6.281293
0.010000,0.000000,253.667401,0.002545,0.089827,1.996164,24.952055,6.281307
0.010000,0.000000,253.667401,0.003556,0.112284,2.245685,24.952055,6.281325
0.010000,0.000000,253.667401,0.004803,0.137236,2.495206,24.952055,6.281348
0.010000,0.000000,253.667401,0.006313,0.164684,2.744726,24.952055,6.281375
0.010000,0.000000,253.667401,0.008109,0.194626,2.994247,24.952055,6.281407
0.010000,0.000000,253.667401,0.010218,0.227064,3.243767,24.952055,6.281445
0.010000,0.000000,253.667401,0.012663,0.261997,3.493288,24.952055,6.281488
0.010000,0.000000,253.667401,0.015470,0.299425,3.742808,24.952055,6.281539
0.010000,0.000000,253.667401,0.018664,0.339348,3.992329,24.952055,6.281596
0.010000,0.000000,253.667401,0.022270,0.381766,4.241849,24.952055,6.281660
0.010000,0.000000,253.667401,0.026312,0.426680,4.491370,24.952055,6.281733
0.010000,0.000000,253.667401,0.030816,0.474089,4.740891,24.952055,6.281813
0.010000,0.000000,253.667401,0.035806,0.523993,4.990411,24.952055,6.281903
0.010000,0.000000,253.667401,0.041308,0.576392,5.239932,24.952055,6.282001
0.010000,0.000000,253.667401,0.047347,0.631287,5.489452,24.952055,6.282109
0.010000,0.000000,253.667401,0.053946,0.688677,5.738973,24.952055,6.282228
0.010000,0.000000,253.667401,0.061133,0.748562,5.988493,24.952055,6.282356
0.010000,0.000000,253.667401,0.068930,0.810942,6.238014,24.952055,6.282496
0.010000,0.000000,253.667401,0.077364,0.875817,6.487534,24.952055,6.282647
0.010000,0.000000,253.667401,0.086459,0.943188,6.737055,24.952055,6.282810
0.010000,0.000000,253.667401,0.096240,1.013053,6.986576,24.952055,6.282985
0.010000,0.000000,253.667401,0.106732,1.085414,7.236096,24.952055,6.283173
0.010000,0.010556,253.667402,0.117961,1.160271,7.485617,24.952055,0.000189
0.010000,0.022550,253.667406,0.129950,1.237622,7.735137,24.952055,0.000404
0.010000,0.035329,253.667412,0.142726,1.317469,7.984658,24.952055,0.000633
0.010000,0.048917,253.667423,0.156312,1.399810,8.234178,24.952055,0.000877
0.010000,0.063339,253.667437,0.170734,1.484647,8.483699,24.952055,0.001135
0.010000,0.078619,253.667457,0.186018,1.571979,8.733219,24.952055,0.001410
0.010000,0.094782,253.667482,0.202187,1.661807,8.982740,24.952055,0.001700
0.010000,0.111858,253.667513,0.219266,1.754129,9.232261,24.952055,0.002006
0.010000,0.129881,253.667553,0.237282,1.848947,9.481781,24.952055,0.002330
0.010000,0.148862,253.667600,0.256258,1.946260,9.731302,24.952055,0.002671
0.010000,0.168824,253.667657,0.276219,2.046069,9.980822,24.952055,0.003029
0.010000,0.189792,253.667724,0.297191,2.148372,10.230343,24.952055,0.003406
0.010000,0.211790,253.667804,0.319199,2.253171,10.479863,24.952055,0.003802
0.010000,0.234866,253.667896,0.342267,2.360464,10.729384,24.952055,0.004217
0.010000,0.259025,253.668003,0.366421,2.470253,10.978904,24.952055,0.004652
0.010000,0.284287,253.668127,0.391685,2.582538,11.228425,24.952055,0.005106
0.010000,0.310678,253.668268,0.418084,2.697317,11.477946,24.952055,0.005582
0.010000,0.338239,253.668428,0.445644,2.814592,11.727466,24.952055,0.006078
0.010000,0.366990,253.668610,0.474388,2.934362,11.976987,24.952055,0.006597
0.010000,0.396942,253.668816,0.504343,3.056627,12.226507,24.952055,0.007137
0.010000,0.428119,253.669047,0.535533,3.181387,12.476028,24.952055,0.007700
0.010000,0.460581,253.669307,0.567984,3.308643,12.725548,24.952055,0.008286
0.010000,0.494316,253.669597,0.601719,3.438393,12.975069,24.952055,0.008896
0.010000,0.529349,253.669919,0.636764,3.570639,13.224589,24.952055,0.009529
0.010000,0.565736,253.670278,0.673144,3.705380,13.474110,24.952055,0.010188
0.010000,0.603476,253.670676,0.710884,3.842617,13.723631,24.952055,0.010871
0.010000,0.642584,253.671115,0.750009,3.982348,13.973151,24.952055,0.011580
0.010000,0.683130,253.671599,0.790543,4.124575,14.222672,24.952055,0.012315
0.010000,0.725092,253.672132,0.832513,4.269297,14.472192,24.952055,0.013076
0.010000,0.768516,253.672717,0.875942,4.416514,14.721713,24.952055,0.013865
0.010000,0.813430,253.673358,0.920856,4.566226,14.971233,24.952055,0.014681
0.010000,0.859836,253.674059,0.967279,4.718434,15.220754,24.952055,0.015525
0.010000,0.907801,253.674825,1.015237,4.873136,15.470274,24.952055,0.016398
0.010000,0.957298,253.675659,1.064754,5.030334,15.719795,24.952055,0.017300
0.010000,1.008404,253.676567,1.115856,5.190028,15.969315,24.952055,0.018232
0.010000,1.061095,253.677553,1.168567,5.352216,16.218836,24.952055,0.019194
0.010000,1.115441,253.678623,1.222913,5.516899,16.468357,24.952055,0.020187
0.010000,1.171420,253.679782,1.278918,5.684078,16.717877,24.952055,0.021210
0.010000,1.229110,253.681036,1.336607,5.853752,16.967398,24.952055,0.022266
0.010000,1.288482,253.682391,1.396005,6.025921,17.216918,24.952055,0.023354
0.010000,1.349606,253.683853,1.457138,6.200586,17.466439,24.952055,0.024475
0.010000,1.412476,253.685428,1.520029,6.377745,17.715959,24.952055,0.025630
0.010000,1.477125,253.687124,1.584705,6.557400,17.965480,24.952055,0.026818
0.010000,1.543592,253.688947,1.651190,6.739550,18.215000,24.952055,0.028041
0.010000,1.611875,253.690906,1.719509,6.924195,18.464521,24.952055,0.029299
0.010000,1.682024,253.693007,1.789686,7.111336,18.714042,24.952055,0.030593
0.010000,1.754055,253.695259,1.861748,7.300971,18.963562,24.952055,0.031924
0.010000,1.827981,253.697671,1.935718,7.493102,19.213083,24.952055,0.033291
0.010000,1.903836,253.700250,2.011622,7.687728,19.462603,24.952055,0.034695
0.010000,1.981659,253.703007,2.089485,7.884850,19.712124,24.952055,0.036138
0.010000,2.061452,253.705951,2.169332,8.084466,19.961644,24.952055,0.037619
0.010000,2.143230,253.709092,2.251174,8.284082,19.961644,-0.000000,0.039139
0.010000,2.226993,253.712437,2.335013,8.483699,19.961644,-0.000000,0.040698
0.010000,2.312763,253.715998,2.420848,8.683315,19.961644,0.000000,0.042297
0.010000,2.400516,253.719784,2.508680,8.882932,19.961644,0.000000,0.043935
0.010000,2.490255,253.723805,2.598507,9.082548,19.961644,0.000000,0.045613
0.010000,2.581979,253.728070,2.690331,9.282165,19.961644,0.000000,0.047330
0.010000,2.675687,253.732591,2.784150,9.481781,19.961644,-0.000000,0.049087
0.010000,2.771381,253.737379,2.879966,9.681398,19.961644,0.000000,0.050884
0.010000,2.869060,253.742443,2.977778,9.881014,19.961644,0.000000,0.052721
0.010000,2.968722,253.747796,3.077587,10.080630,19.961644,-0.000000,0.054598
0.010000,3.070369,253.753449,3.179391,10.280247,19.961644,-0.000000,0.056516
0.010000,3.173998,253.759414,3.283191,10.479863,19.961644,0.000000,0.058474
0.010000,3.279608,253.765702,3.388988,10.679480,19.961644,0.000000,0.060473
0.010000,3.387199,253.772326,3.496781,10.879096,19.961644,0.000000,0.062513
0.010000,3.496768,253.779299,3.606570,11.078713,19.961644,-0.000000,0.064593
0.010000,3.608315,253.786633,3.718355,11.278329,19.961644,0.000000,0.066715
0.010000,3.721836,253.794341,3.832137,11.477946,19.961644,0.000000,0.068878
0.010000,3.837331,253.802437,3.947914,11.677562,19.961644,0.000000,0.071083
0.010000,3.954797,253.810933,4.065688,11.877178,19.961644,-0.000000,0.073329
0.010000,4.074230,253.819844,4.185458,12.076795,19.961644,0.000000,0.075617
0.010000,4.195630,253.829184,4.307224,12.276411,19.961644,0.000000,0.077946
