dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.023080,241.667423,0.000012,0.002500,0.249972,24.997167,6.281262
0.010000,-0.023069,241.667423,0.000023,0.001074,-0.142577,-39.254888,6.281263
0.010000,-0.023045,241.667423,0.000047,0.002416,0.134243,27.682043,6.281265
0.010000,-0.023002,241.667423,0.000090,0.004296,0.187941,5.369769,6.281268
0.010000,-0.022935,241.667423,0.000157,0.006712,0.241639,5.369832,6.281274
0.010000,-0.022838,241.667423,0.000254,0.009666,0.295339,5.369934,6.281282
0.010000,-0.022706,241.667423,0.000386,0.013156,0.349039,5.370085,6.281293
0.010000,-0.022535,241.667422,0.000558,0.017183,0.402742,5.370297,6.281307
0.010000,-0.022317,241.667422,0.000775,0.021748,0.456448,5.370577,6.281326
0.010000,-0.022049,241.667422,0.001044,0.026849,0.510158,5.370937,6.281348
0.010000,-0.021724,241.667421,0.001368,0.032488,0.563871,5.371386,6.281375
0.010000,-0.021337,241.667420,0.001755,0.038664,0.617591,5.371934,6.281407
0.010000,-0.020883,241.667419,0.002209,0.045377,0.671317,5.372591,6.281445
0.010000,-0.020357,241.667419,0.002735,0.052628,0.725050,5.373366,6.281489
0.010000,-0.019753,241.667418,0.003339,0.060416,0.778793,5.374269,6.281539
0.010000,-0.019065,241.667416,0.004027,0.068741,0.832546,5.375310,6.281597
0.010000,-0.018289,241.667415,0.004803,0.077604,0.886311,5.376498,6.281661
0.010000,-0.017419,241.667414,0.005673,0.087005,0.940090,5.377843,6.281734
0.010000,-0.016450,241.667413,0.006642,0.096944,0.993883,5.379354,6.281814
0.010000,-0.015376,241.667411,0.007716,0.107421,1.047693,5.381039,6.281904
0.010000,-0.014191,241.667410,0.008901,0.118436,1.101523,5.382909,6.282003
0.010000,-0.012892,241.667408,0.010201,0.129990,1.155372,5.384972,6.282111
0.010000,-0.011471,241.667407,0.011621,0.142082,1.209245,5.387236,6.282229
0.010000,-0.009924,241.667405,0.013169,0.154714,1.263142,5.389711,6.282358
0.010000,-0.008245,241.667404,0.014847,0.167884,1.317066,5.392404,6.282498
0.010000,-0.006429,241.667403,0.016663,0.181595,1.371019,5.395324,6.282650
0.010000,-0.004470,241.667402,0.018622,0.195845,1.425004,5.398478,6.282813
0.010000,-0.002364,241.667402,0.020728,0.210635,1.479023,5.401874,6.282988
0.010000,-0.000104,241.667401,0.022988,0.225966,1.533078,5.405520,6.283177
0.010000,0.013085,241.667403,0.036177,1.318907,109.294095,10776.101702,0.000193
0.010000,0.027685,241.667407,0.050777,1.460010,14.110311,-9518.378374,0.000408
0.010000,0.043241,241.667415,0.066333,1.555571,9.556184,-455.412648,0.000638
0.010000,0.059782,241.667428,0.082874,1.654142,9.857079,30.089497,0.000882
0.010000,0.077339,241.667445,0.100431,1.755719,10.157662,30.058242,0.001141
0.010000,0.095942,241.667469,0.119034,1.860298,10.457913,30.025074,0.001416
0.010000,0.115621,241.667500,0.138713,1.967876,10.757812,29.989941,0.001706
0.010000,0.136412,241.667539,0.159505,2.079159,11.128247,37.043488,0.002013
0.010000,0.158359,241.667586,0.181451,2.194623,11.546401,41.815417,0.002337
0.010000,0.181472,241.667644,0.204564,2.311313,11.669027,12.262586,0.002679
0.010000,0.205781,241.667714,0.228874,2.430990,11.967663,29.863606,0.003038
0.010000,0.231318,241.667796,0.254410,2.553648,12.265841,29.817786,0.003416
0.010000,0.258110,241.667893,0.281203,2.679283,12.563538,29.769700,0.003812
0.010000,0.286219,241.668006,0.309312,2.810903,13.161977,59.843866,0.004228
0.010000,0.315648,241.668137,0.338742,2.942949,13.204633,4.265635,0.004663
0.010000,0.346425,241.668287,0.369518,3.077643,13.469389,26.475636,0.005119
0.010000,0.378577,241.668460,0.401671,3.215296,13.765268,29.587872,0.005595
0.010000,0.412160,241.668656,0.435255,3.358398,14.310153,54.488478,0.006093
0.010000,0.447196,241.668878,0.470291,3.503587,14.518981,20.882795,0.006612
0.010000,0.483697,241.669130,0.506794,3.650251,14.666395,14.741452,0.007154
0.010000,0.521695,241.669412,0.544793,3.799919,14.966743,30.034828,0.007717
0.010000,0.561264,241.669729,0.584363,3.957034,15.711571,74.482793,0.008305
0.010000,0.602390,241.670083,0.625490,4.112668,15.563372,-14.819952,0.008916
0.010000,0.645100,241.670478,0.668202,4.271220,15.855147,29.177543,0.009550
0.010000,0.689470,241.670916,0.712574,4.437173,16.595327,74.017983,0.010210
0.010000,0.735491,241.671402,0.758598,4.602435,16.526178,-6.914906,0.010894
0.010000,0.783190,241.671938,0.806299,4.770138,16.770327,24.414931,0.011604
0.010000,0.832646,241.672530,0.855759,4.945997,17.585901,81.557359,0.012341
0.010000,0.883836,241.673182,0.906953,5.119414,17.341732,-24.416910,0.013104
0.010000,0.936819,241.673897,0.959941,5.298729,17.931517,58.978559,0.013894
0.010000,0.991625,241.674681,1.014753,5.481230,18.250064,31.854641,0.014711
0.010000,1.048247,241.675538,1.071381,5.662823,18.159290,-9.077419,0.015557
0.010000,1.106732,241.676473,1.129873,5.849198,18.637515,47.822536,0.016431
0.010000,1.167020,241.677491,1.190170,6.029702,18.050337,-58.717774,0.017332
0.010000,1.229178,241.678598,1.252339,6.216826,18.712408,66.207088,0.018262
0.010000,1.293142,241.679796,1.316313,6.397464,18.063812,-64.859649,0.019220
0.010000,1.358973,241.681094,1.382157,6.584375,18.691169,62.735719,0.020206
0.010000,1.426610,241.682495,1.449809,6.765156,18.078026,-61.314326,0.021221
0.010000,1.496120,241.684007,1.519335,6.952685,18.752932,67.490597,0.022264
0.010000,1.567440,241.685633,1.590673,7.133795,18.110985,-64.194697,0.023335
0.010000,1.640625,241.687382,1.663880,7.320621,18.682589,57.160466,0.024435
0.010000,1.715635,241.689257,1.738913,7.503352,18.273169,-40.941996,0.025564
0.010000,1.792490,241.691267,1.815794,7.688096,18.474336,20.116707,0.026722
0.010000,1.871195,241.693417,1.894529,7.873511,18.541501,6.716488,0.027908
0.010000,1.951723,241.695714,1.975090,8.056064,18.255287,-28.621396,0.029123
0.010000,2.034121,241.698166,2.057524,8.243457,18.739309,48.402206,0.030367
0.010000,2.118353,241.700778,2.141797,8.427225,18.376787,-36.252274,0.031641
0.010000,2.204414,241.703558,2.227902,8.610588,18.336345,-4.044183,0.032943
0.010000,2.292351,241.706515,2.315889,8.798616,18.802787,46.644194,0.034275
0.010000,2.382122,241.709654,2.405715,8.982603,18.398690,-40.409709,0.035636
0.010000,2.473728,241.712984,2.497382,9.166695,18.409216,1.052638,0.037026
0.010000,2.567195,241.716512,2.590915,9.353385,18.668963,25.974676,0.038446
0.010000,2.662516,241.720248,2.686310,9.539415,18.603065,-6.589749,0.039896
0.010000,2.759678,241.724198,2.783551,9.724154,18.473898,-12.916758,0.041375
0.010000,2.858682,241.728372,2.882643,9.909171,18.501675,2.777733,0.042884
0.010000,2.959544,241.732778,2.983601,10.095838,18.666706,16.503094,0.044423
0.010000,3.062266,241.737425,3.086429,10.282737,18.689849,2.314307,0.045992
0.010000,3.166834,241.742321,3.191111,10.468289,18.555254,-13.459531,0.047592
0.010000,3.273250,241.747476,3.297652,10.654080,18.579057,2.380335,0.049221
0.010000,3.381516,241.752900,3.406053,10.840098,18.601810,2.275318,0.050880
0.010000,3.491631,241.758601,3.516317,11.026333,18.623512,2.170167,0.052570
0.010000,3.603606,241.764589,3.628452,11.213506,18.717335,9.382310,0.054291
0.010000,3.717442,241.770875,3.742460,11.400850,18.734420,1.708460,0.056042
0.010000,3.833128,241.777469,3.858335,11.587452,18.660180,-7.423999,0.057824
0.010000,3.950668,241.784380,3.976077,11.774231,18.677909,1.772966,0.059637
0.010000,4.070060,241.791619,4.095689,11.961177,18.694588,1.667825,0.061480
0.010000,4.191306,241.799197,4.217172,12.148279,18.710214,1.562685,0.063355
0.010000,4.314407,241.807124,4.340527,12.335527,18.724790,1.457567,0.065260
0.010000,4.439361,241.815411,4.465756,12.522910,18.738315,1.352495,0.067197
0.010000,4.566170,241.824071,4.592860,12.710418,18.750790,1.247490,0.069165
0.010000,4.694833,241.833113,4.721840,12.898040,18.762216,1.142575,0.071164
0.010000,4.825350,241.842550,4.852698,13.085766,18.772593,1.037770,0.073195
0.010000,4.957720,241.852394,4.985434,13.273586,18.781924,0.933098,0.075257
0.010000,5.091944,241.862655,5.120049,13.461488,18.790210,0.828580,0.077352
0.010000,5.228019,241.873347,5.256544,13.649462,18.797453,0.724235,0.079477
0.010000,5.365945,241.884482,5.394918,13.837499,18.803653,0.620085,0.081635
0.010000,5.505721,241.896072,5.535174,14.025587,18.808815,0.516149,0.083824
0.010000,5.647360,241.908131,5.677325,14.215097,18.951051,14.223570,0.086046
0.010000,5.790850,241.920672,5.821362,14.403669,18.857158,-9.389261,0.088300
0.010000,5.936187,241.933706,5.967282,14.592029,18.835972,-2.118557,0.090586
0.010000,6.083369,241.947247,6.115086,14.780396,18.836716,0.074333,0.092904
0.010000,6.232395,241.961309,6.264774,14.968760,18.836431,-0.028451,0.095254
0.010000,6.383261,241.975904,6.416345,15.157111,18.835122,-0.130900,0.097637
0.010000,6.535992,241.991050,6.569825,15.348026,19.091411,25.628839,0.100053
0.010000,6.690562,242.006758,6.725191,15.536614,18.858859,-23.255203,0.102501
0.010000,6.846967,242.023042,6.882442,15.725026,18.841148,-1.771044,0.104981
0.010000,7.005204,242.039917,7.041575,15.913380,18.835480,-0.566829,0.107494
0.010000,7.165301,242.057399,7.202624,16.104886,19.150583,31.510297,0.110041
0.010000,7.327227,242.075501,7.365559,16.293440,18.855352,-29.523062,0.112620
0.010000,7.490975,242.094237,7.530376,16.481712,18.827234,-2.811834,0.115231
0.010000,7.656571,242.113626,7.697102,16.672650,19.093783,26.654888,0.117876
0.010000,7.823994,242.133680,7.865722,16.861995,18.934480,-15.930300,0.120554
0.010000,7.993229,242.154414,8.036223,17.050076,18.808132,-12.634805,0.123264
0.010000,8.164312,242.175848,8.208643,17.242030,19.195424,38.729279,0.126008
0.010000,8.337203,242.197994,8.382947,17.430333,18.830295,-36.512923,0.128785
0.010000,8.511913,242.220869,8.559148,17.620146,18.981295,15.099940,0.131595
0.010000,8.688445,242.244490,8.737253,17.810536,19.038994,5.769980,0.134438
0.010000,8.866776,242.268871,8.917243,17.998953,18.841657,-19.733719,0.137314
0.010000,9.046933,242.294033,9.099149,18.190565,19.161231,31.957373,0.140224
0.010000,9.228874,242.319987,9.282932,18.378295,18.772990,-38.824072,0.143166
0.010000,9.412637,242.346756,9.468635,18.570301,19.200588,42.759729,0.146142
0.010000,9.598177,242.374351,9.656215,18.758018,18.771733,-42.885435,0.149151
0.010000,9.785526,242.402795,9.845711,18.949625,19.160699,38.896589,0.152193
0.010000,9.974649,242.432100,10.037091,19.137968,18.834294,-32.640524,0.155268
0.010000,10.165561,242.462287,10.230375,19.328421,19.045246,21.095207,0.158377
0.010000,10.358250,242.493373,10.425555,19.517991,18.957055,-8.819094,0.161518
0.010000,10.552700,242.525373,10.622621,19.706571,18.857947,-9.910805,0.164692
0.010000,10.748934,242.558310,10.821600,19.897934,19.136381,27.843420,0.167900
0.010000,10.946916,242.592197,11.022461,20.086080,18.814522,-32.185922,0.171140
0.010000,11.146652,242.627054,11.225216,20.275526,18.944687,13.016503,0.174413
0.010000,11.348146,242.662902,11.429874,20.465801,19.027448,8.276098,0.177719
0.010000,11.551373,242.699754,11.636414,20.654051,18.824999,-20.244868,0.181057
0.010000,11.756329,242.737631,11.844841,20.842654,18.860277,3.527806,0.184428
0.010000,11.963028,242.776555,12.055173,21.033182,19.052786,19.250876,0.187832
0.010000,12.171440,242.816539,12.267386,21.221328,18.814659,-23.812738,0.191268
0.010000,12.381559,242.857604,12.481481,21.409468,18.813982,-0.067714,0.194736
0.010000,12.593380,242.899768,12.697457,21.597574,18.810622,-0.335979,0.198236
0.010000,12.806910,242.943053,12.915330,21.787323,18.974881,16.425944,0.201769
0.010000,13.022124,242.987475,13.135081,21.975100,18.777676,-19.720518,0.205333
0.010000,13.239014,243.033053,13.356708,22.162750,18.765052,-1.262396,0.208928
0.010000,13.457572,243.079807,13.580211,22.350268,18.751742,-1.331049,0.212555
0.010000,13.677789,243.127755,13.805587,22.537626,18.735824,-1.591765,0.216214
0.010000,13.899656,243.176916,14.032835,22.724799,18.717318,-1.850588,0.219903
0.010000,14.123163,243.227311,14.261953,22.911806,18.700736,-1.658184,0.223623
0.010000,14.348305,243.278958,14.492944,23.099059,18.725231,2.449527,0.227374
0.010000,14.575066,243.331877,14.725797,23.285366,18.630678,-9.455339,0.231155
0.010000,14.803434,243.386086,14.960511,23.471392,18.602675,-2.800337,0.234966
0.010000,15.033399,243.441604,15.197083,23.657114,18.572197,-3.047791,0.238807
0.010000,15.264948,243.498450,15.435508,23.842507,18.539271,-3.292556,0.242678
0.010000,15.498070,243.556644,15.675783,24.027546,18.503926,-3.534496,0.246578
0.010000,15.732752,243.616204,15.917905,24.212208,18.466192,-3.773478,0.250507
0.010000,15.968982,243.677149,16.161870,24.396469,18.426098,-4.009371,0.254464
0.010000,16.206746,243.739498,16.407673,24.580306,18.383677,-4.242045,0.258450
0.010000,16.446036,243.803271,16.655316,24.764293,18.398720,1.504246,0.262463
0.010000,16.686835,243.868487,16.904789,24.947341,18.304840,-9.387950,0.266504
0.010000,16.929127,243.935162,17.156088,25.129865,18.252375,-5.246493,0.270573
0.010000,17.172897,244.003316,17.409207,25.311869,18.200398,-5.197716,0.274668
0.010000,17.418132,244.072966,17.664140,25.493332,18.146280,-5.411822,0.278789
0.010000,17.664814,244.144131,17.920882,25.674233,18.090061,-5.621949,0.282937
0.010000,17.912930,244.216829,18.179429,25.854665,18.043265,-4.679571,0.287110
0.010000,18.162473,244.291081,18.439785,26.035579,18.091375,4.810993,0.291308
0.010000,18.413416,244.366901,18.701932,26.214731,17.915156,-17.621863,0.295530
0.010000,18.665742,244.444307,18.965864,26.393235,17.850397,-6.475895,0.299777
0.010000,18.919435,244.523315,19.231575,26.571113,17.787842,-6.255485,0.304047
0.010000,19.174492,244.603948,19.499074,26.749838,17.872541,8.469870,0.308340
0.010000,19.430879,244.686216,19.768337,26.926325,17.648669,-22.387154,0.312655
0.010000,19.688580,244.770138,20.039358,27.102087,17.576160,-7.250925,0.316993
0.010000,19.947589,244.855733,20.312144,27.278599,17.651214,7.505422,0.321352
0.010000,20.207876,244.943014,20.586676,27.453184,17.458505,-19.270966,0.325732
0.010000,20.469423,245.031997,20.862945,27.626895,17.371088,-8.741684,0.330132
0.010000,20.732224,245.122701,21.140958,27.801319,17.442472,7.138446,0.334551
0.010000,20.996242,245.215136,21.420690,27.973223,17.190344,-25.212867,0.338990
0.010000,21.261473,245.309321,21.702147,28.145700,17.247713,5.736964,0.343446
0.010000,21.527887,245.405269,21.985313,28.316537,17.083662,-16.405107,0.347921
0.010000,21.795470,245.502995,22.270182,28.486961,17.042391,-4.127081,0.352412
0.010000,22.064199,245.602513,22.556747,28.656460,16.949917,-9.247428,0.356920
0.010000,22.334055,245.703835,22.844998,28.825093,16.863277,-8.664034,0.361443
0.010000,22.605017,245.806976,23.134926,28.992837,16.774455,-8.882187,0.365981
0.010000,22.877066,245.911949,23.426525,29.159894,16.705663,-6.879239,0.370533
0.010000,23.150176,246.018765,23.719780,29.325526,16.563266,-14.239620,0.375098
0.010000,23.424335,246.127438,24.014692,29.491177,16.565090,0.182327,0.379676
0.010000,23.699511,246.237976,24.311240,29.654751,16.357375,-20.771442,0.384266
0.010000,23.975691,246.350395,24.609424,29.818419,16.366828,0.945259,0.388867
0.010000,24.252850,246.464703,24.909229,29.980529,16.211009,-15.581888,0.393478
0.010000,24.530963,246.580909,25.210643,30.141421,16.089116,-12.189297,0.398099
0.010000,24.810016,246.699028,25.513666,30.302288,16.086723,-0.239308,0.402728
0.010000,25.089981,246.819064,25.818279,30.461322,15.903438,-18.328460,0.407364
0.010000,25.370836,246.941028,26.124473,30.619327,15.800492,-10.294682,0.412008
0.010000,25.652561,247.064929,26.432240,30.776759,15.743188,-5.730304,0.416658
0.010000,25.935135,247.190776,26.741571,30.933039,15.627962,-11.522621,0.421313
0.010000,26.218532,247.318574,27.052450,31.087985,15.494667,-13.329489,0.425972
0.010000,26.502731,247.448331,27.364870,31.241911,15.392620,-10.204734,0.430634
0.010000,26.787710,247.580053,27.678818,31.394874,15.296284,-9.633642,0.435299
0.010000,27.073449,247.713749,27.994288,31.546999,15.212456,-8.382720,0.439966
0.010000,27.359923,247.849421,28.311265,31.697680,15.068089,-14.436777,0.444633
0.010000,27.647109,247.987076,28.629738,31.847278,14.959862,-10.822694,0.449300
0.010000,27.934987,248.126717,28.949696,31.995781,14.850227,-10.963443,0.453965
0.010000,28.223532,248.268349,29.271127,32.143174,14.739315,-11.091208,0.458629
0.010000,28.512725,248.411976,29.594022,32.289446,14.627253,-11.206181,0.463289
0.010000,28.802542,248.557600,29.918368,32.434588,14.514168,-11.308573,0.467946
0.010000,29.092962,248.705223,30.244154,32.578590,14.400181,-11.398617,0.472597
0.010000,29.383963,248.854848,30.571368,32.721444,14.285416,-11.476564,0.477243
0.010000,29.675524,249.006476,30.900000,32.863152,14.170779,-11.463679,0.481881
0.010000,29.967622,249.160108,31.230036,33.003684,14.053242,-11.753669,0.486512
0.010000,30.260237,249.315745,31.561467,33.143052,13.936789,-11.645381,0.491134
0.010000,30.553348,249.473385,31.894280,33.281269,13.821686,-11.510217,0.495746
0.010000,30.846933,249.633028,32.228463,33.418308,13.703932,-11.775431,0.500347
0.010000,31.140972,249.794674,32.564004,33.554177,13.586868,-11.706412,0.504937
0.010000,31.435445,249.958319,32.900893,33.688875,13.469787,-11.708103,0.509513
0.010000,31.730331,250.123963,33.239117,33.822403,13.352784,-11.700275,0.514076
0.010000,32.025610,250.291602,33.578665,33.954762,13.235951,-11.683307,0.518625
0.010000,32.321263,250.461233,33.919524,34.085956,13.119375,-11.657587,0.523158
0.010000,32.617270,250.632851,34.261684,34.215987,13.003140,-11.623512,0.527674
0.010000,32.913613,250.806454,34.605133,34.344861,12.887325,-11.581487,0.532172
0.010000,33.210273,250.982036,34.949859,34.472614,12.775357,-11.196781,0.536652
0.010000,33.507231,251.159592,35.295851,34.599190,12.657551,-11.780688,0.541113
0.010000,33.804470,251.339116,35.643097,34.724598,12.540820,-11.673032,0.545552
0.010000,34.101971,251.520602,35.991586,34.848870,12.427205,-11.361512,0.549971
0.010000,34.399719,251.704044,36.341306,34.972014,12.314405,-11.280041,0.554367
0.010000,34.697695,251.889434,36.692246,35.094023,12.200905,-11.349972,0.558740
0.010000,34.995883,252.076764,37.044395,35.214904,12.088054,-11.285130,0.563089
0.010000,35.294268,252.266027,37.397742,35.334681,11.977723,-11.033022,0.567412
0.010000,35.592833,252.457215,37.752275,35.453317,11.863672,-11.405193,0.571709
0.010000,35.891563,252.650317,38.107984,35.570863,11.754540,-10.913125,0.575980
0.010000,36.190445,252.845326,38.464857,35.687353,11.649061,-10.547952,0.580222
0.010000,36.489462,253.042232,38.822884,35.802681,11.532715,-11.634578,0.584436
0.010000,36.788603,253.241023,39.182054,35.916983,11.430236,-10.247919,0.588619
0.010000,37.087852,253.441691,39.542356,36.030258,11.327487,-10.274869,0.592773
0.010000,37.387198,253.644223,39.903780,36.142329,11.207160,-12.032709,0.596894
0.010000,37.686627,253.848609,40.266315,36.253540,11.121075,-8.608483,0.600983
0.010000,37.986128,254.054837,40.629951,36.363539,10.999914,-12.116157,0.605039
0.010000,38.285690,254.262896,40.994677,36.472649,10.910948,-8.896597,0.609061
0.010000,38.585300,254.472772,41.360483,36.580648,10.799876,-11.107120,0.613048
0.010000,38.884950,254.684453,41.727360,36.687698,10.705044,-9.483208,0.616999
0.010000,39.184628,254.897926,42.095298,36.793709,10.601127,-10.391754,0.620914
0.010000,39.484325,255.113178,42.464285,36.898784,10.507441,-9.368602,0.624791
0.010000,39.784033,255.330194,42.834313,37.002808,10.402428,-10.501313,0.628630
0.010000,40.083743,255.548962,43.205373,37.106004,10.319589,-8.283896,0.632429
0.010000,40.383446,255.769466,43.577454,37.208032,10.202772,-11.681667,0.636189
0.010000,40.683136,255.991693,43.950548,37.309404,10.137212,-6.556029,0.639908
0.010000,40.982804,256.215627,44.324643,37.409524,10.012061,-12.515069,0.643586
0.010000,41.282447,256.441252,44.699733,37.508978,9.945362,-6.669934,0.647222
0.010000,41.582056,256.668555,45.075808,37.607481,9.850330,-9.503197,0.650815
0.010000,41.881626,256.897518,45.452857,37.704903,9.742202,-10.812779,0.654364
0.010000,42.181153,257.128126,45.830874,37.801694,9.679078,-6.312378,0.657868
0.010000,42.480633,257.360363,46.209849,37.897490,9.579609,-9.946869,0.661328
0.010000,42.780060,257.594211,46.589772,37.992304,9.481380,-9.822962,0.664741
0.010000,43.079432,257.829655,46.970636,38.086470,9.416641,-6.473855,0.668108
0.010000,43.378748,258.066678,47.352434,38.179779,9.330880,-8.576115,0.671428
0.010000,43.678001,258.305261,47.735154,38.271974,9.219484,-11.139599,0.674699
0.010000,43.977193,258.545388,48.118790,38.363590,9.161651,-5.783285,0.677922
0.010000,44.276321,258.787041,48.503334,38.454393,9.080238,-8.141330,0.681096
0.010000,44.575385,259.030202,48.888777,38.544374,8.998102,-8.213593,0.684219
0.010000,44.874384,259.274853,49.275111,38.633375,8.900159,-9.794351,0.687292
