dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,55.311929,130.840623,0.000012,0.002490,0.249030,24.902973,6.273112
0.010000,55.311929,130.840623,0.000013,0.000030,-0.246021,-49.505072,6.273112
0.010000,55.311930,130.840623,0.000013,0.000068,0.003761,24.978190,6.273111
0.010000,55.311931,130.840623,0.000015,0.000120,0.005265,0.150435,6.273111
0.010000,55.311933,130.840623,0.000017,0.000188,0.006770,0.150432,6.273111
0.010000,55.311936,130.840623,0.000019,0.000271,0.008274,0.150427,6.273111
0.010000,55.311939,130.840623,0.000023,0.000369,0.009778,0.150420,6.273111
0.010000,55.311944,130.840623,0.000028,0.000481,0.011282,0.150411,6.273110
0.010000,55.311950,130.840623,0.000034,0.000609,0.012786,0.150398,6.273110
0.010000,55.311958,130.840623,0.000041,0.000752,0.014290,0.150382,6.273109
0.010000,55.311967,130.840623,0.000050,0.000910,0.015794,0.150362,6.273108
0.010000,55.311978,130.840623,0.000061,0.001083,0.017297,0.150338,6.273107
0.010000,55.311990,130.840623,0.000074,0.001271,0.018800,0.150308,6.273106
0.010000,55.312005,130.840622,0.000089,0.001474,0.020303,0.150273,6.273105
0.010000,55.312022,130.840622,0.000106,0.001692,0.021805,0.150233,6.273104
0.010000,55.312041,130.840622,0.000125,0.001925,0.023307,0.150186,6.273102
0.010000,55.312063,130.840622,0.000147,0.002173,0.024808,0.150132,6.273100
0.010000,55.312087,130.840622,0.000171,0.002436,0.026309,0.150072,6.273098
0.010000,55.312114,130.840621,0.000198,0.002714,0.027809,0.150004,6.273096
0.010000,55.312144,130.840621,0.000228,0.003008,0.029308,0.149928,6.273094
0.010000,55.312178,130.840621,0.000261,0.003316,0.030807,0.149843,6.273091
0.010000,55.312214,130.840620,0.000298,0.003639,0.032304,0.149750,6.273088
0.010000,55.312254,130.840620,0.000338,0.003977,0.033801,0.149647,6.273084
0.010000,55.312297,130.840620,0.000381,0.004330,0.035296,0.149534,6.273081
0.010000,55.312344,130.840619,0.000428,0.004698,0.036790,0.149412,6.273077
0.010000,55.312395,130.840619,0.000479,0.005080,0.038283,0.149278,6.273073
0.010000,55.312450,130.840618,0.000533,0.005478,0.039774,0.149134,6.273068
0.010000,55.312509,130.840617,0.000592,0.005891,0.041264,0.148977,6.273063
0.010000,55.312572,130.840617,0.000655,0.006318,0.042752,0.148809,6.273058
0.010000,55.321320,130.840528,0.009404,0.874881,86.856243,8681.349047,6.273052
0.010000,55.333358,130.840406,0.021442,1.203806,32.892540,-5396.370249,6.273046
0.010000,55.346184,130.840276,0.034270,1.282722,7.891632,-2500.090849,6.273040
0.010000,55.359825,130.840138,0.047911,1.364144,8.142139,25.050748,6.273033
0.010000,55.374305,130.839990,0.062392,1.448070,8.392644,25.050488,6.273026
0.010000,55.389649,130.839835,0.077737,1.534502,8.643146,25.050212,6.273018
0.010000,55.405883,130.839669,0.093971,1.623438,8.893645,25.049919,6.273010
0.010000,55.423030,130.839495,0.111120,1.714880,9.144148,25.050241,6.273002
