dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,55.191046,118.841232,0.000030,0.005961,0.596095,59.609535,6.273112
0.010000,55.191046,118.841232,0.000149,0.017883,1.192191,59.609535,6.273111
0.010000,55.191046,118.841232,0.000417,0.035766,1.788286,59.609535,6.273111
0.010000,55.191046,118.841232,0.000894,0.059610,2.384381,59.609535,6.273111
0.010000,55.191046,118.841232,0.001639,0.089414,2.980477,59.609535,6.273111
0.010000,55.191046,118.841232,0.002712,0.125180,3.576572,59.609535,6.273110
0.010000,55.191046,118.841232,0.004173,0.166907,4.172667,59.609535,6.273109
0.010000,55.191046,118.841232,0.006080,0.214594,4.768763,59.609535,6.273108
0.010000,55.191046,118.841232,0.008494,0.268243,5.364858,59.609535,6.273107
0.010000,55.191046,118.841232,0.011475,0.327852,5.960953,59.609535,6.273106
0.010000,55.191046,118.841232,0.015081,0.393423,6.557049,59.609535,6.273104
0.010000,55.191046,118.841232,0.019373,0.464954,7.153144,59.609535,6.273102
0.010000,55.191046,118.841232,0.024410,0.542447,7.749240,59.609535,6.273099
0.010000,55.191046,118.841232,0.030252,0.625900,8.345335,59.609535,6.273096
0.010000,55.191046,118.841232,0.036958,0.715314,8.941430,59.609535,6.273093
0.010000,55.191046,118.841232,0.044588,0.810690,9.537526,59.609535,6.273089
0.010000,55.191046,118.841232,0.053202,0.912026,10.133621,59.609535,6.273085
0.010000,55.191046,118.841232,0.062858,1.019323,10.729716,59.609535,6.273080
0.010000,55.191046,118.841232,0.073618,1.132581,11.325812,59.609535,6.273075
0.010000,55.191046,118.841232,0.085540,1.251800,11.921907,59.609535,6.273069
0.010000,55.191046,118.841232,0.098684,1.376980,12.518002,59.609535,6.273062
0.010000,55.195107,118.841191,0.113109,1.508121,13.114098,59.609535,6.273055
0.010000,55.210873,118.841031,0.128876,1.645223,13.710193,59.609535,6.273047
0.010000,55.228039,118.840857,0.146043,1.788286,14.306288,59.609535,6.273038
0.010000,55.246666,118.840668,0.164671,1.937310,14.902384,59.609535,6.273029
0.010000,55.266813,118.840463,0.184819,2.092295,15.498479,59.609535,6.273019
0.010000,55.288540,118.840242,0.206547,2.253240,16.094574,59.609535,6.273008
0.010000,55.311906,118.840004,0.229914,2.420147,16.690670,59.609535,6.272996
0.010000,55.336970,118.839749,0.254980,2.593015,17.286765,59.609535,6.272983
0.010000,55.363793,118.839475,0.281804,2.771843,17.882860,59.609535,6.272970
0.010000,55.392434,118.839182,0.310446,2.956633,18.478956,59.609535,6.272956
0.010000,55.422952,118.838870,0.340967,3.147383,19.075051,59.609535,6.272940
0.010000,55.455408,118.838537,0.373424,3.344095,19.671146,59.609535,6.272924
0.010000,55.489861,118.838183,0.407878,3.546767,20.267242,59.609535,6.272907
0.010000,55.526370,118.837807,0.444389,3.755401,20.863337,59.609535,6.272888
0.010000,55.564994,118.837409,0.483016,3.969995,21.459433,59.609535,6.272869
0.010000,55.605795,118.836988,0.523819,4.190550,22.055528,59.609535,6.272849
