dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,55.070162,106.841841,0.000012,0.002490,0.249030,24.902973,6.273112
0.010000,55.070162,106.841841,0.000013,0.000030,-0.246021,-49.505072,6.273112
0.010000,55.070161,106.841841,0.000013,0.000068,0.003761,24.978190,6.273111
0.010000,55.070160,106.841841,0.000015,0.000120,0.005265,0.150435,6.273111
0.010000,55.070158,106.841841,0.000017,0.000188,0.006770,0.150432,6.273111
0.010000,55.070156,106.841841,0.000019,0.000271,0.008274,0.150427,6.273111
0.010000,55.070152,106.841841,0.000023,0.000369,0.009778,0.150420,6.273111
0.010000,55.070147,106.841841,0.000028,0.000481,0.011282,0.150411,6.273110
0.010000,55.070141,106.841841,0.000034,0.000609,0.012786,0.150398,6.273110
0.010000,55.070133,106.841841,0.000041,0.000752,0.014290,0.150382,6.273109
0.010000,55.070124,106.841841,0.000050,0.000910,0.015794,0.150362,6.273108
0.010000,55.070114,106.841841,0.000061,0.001083,0.017297,0.150338,6.273107
0.010000,55.070101,106.841842,0.000074,0.001271,0.018800,0.150308,6.273106
0.010000,55.070086,106.841842,0.000089,0.001474,0.020303,0.150273,6.273105
0.010000,55.070069,106.841842,0.000106,0.001692,0.021805,0.150233,6.273104
0.010000,55.070050,106.841842,0.000125,0.001925,0.023307,0.150186,6.273102
0.010000,55.070028,106.841842,0.000147,0.002173,0.024808,0.150132,6.273100
0.010000,55.070004,106.841843,0.000171,0.002436,0.026309,0.150072,6.273098
0.010000,55.069977,106.841843,0.000198,0.002714,0.027809,0.150004,6.273096
0.010000,55.069947,106.841843,0.000228,0.003008,0.029308,0.149928,6.273094
0.010000,55.069913,106.841843,0.000261,0.003316,0.030807,0.149843,6.273091
0.010000,55.069877,106.841844,0.000298,0.003639,0.032304,0.149750,6.273088
0.010000,55.069837,106.841844,0.000338,0.003977,0.033801,0.149647,6.273084
0.010000,55.069794,106.841845,0.000381,0.004330,0.035296,0.149534,6.273081
0.010000,55.069747,106.841845,0.000428,0.004698,0.036790,0.149412,6.273077
0.010000,55.069696,106.841846,0.000479,0.005080,0.038283,0.149278,6.273073
0.010000,55.069641,106.841846,0.000533,0.005478,0.039774,0.149134,6.273068
0.010000,55.069583,106.841847,0.000592,0.005891,0.041264,0.148977,6.273063
0.010000,55.069519,106.841847,0.000655,0.006318,0.042752,0.148809,6.273058
0.010000,55.078133,106.841760,0.009269,0.861359,85.504113,8546.136091,6.273052
0.010000,55.090026,106.841640,0.021163,1.189370,32.801094,-5270.301872,6.273046
0.010000,55.102698,106.841511,0.033836,1.267343,7.797221,-2500.387294,6.273040
0.010000,55.116176,106.841374,0.047314,1.347790,8.044769,24.754732,6.273033
0.010000,55.130482,106.841229,0.061621,1.430713,8.292318,24.754942,6.273026
0.010000,55.145642,106.841075,0.076782,1.516112,8.539870,24.755164,6.273018
0.010000,55.161681,106.840912,0.092822,1.603986,8.787424,24.755401,6.273010
0.010000,55.178624,106.840739,0.109766,1.694336,9.034987,24.756275,6.273002
0.010000,55.196495,106.840557,0.127637,1.787163,9.282685,24.769844,6.272992
0.010000,55.215318,106.840365,0.146462,1.882464,9.530110,24.742451,6.272983
0.010000,55.235120,106.840163,0.166264,1.980241,9.777675,24.756510,6.272973
0.010000,55.255923,106.839951,0.187069,2.080493,10.025243,24.756820,6.272962
0.010000,55.277755,106.839727,0.208901,2.183221,10.272814,24.757145,6.272951
0.010000,55.300638,106.839493,0.231786,2.288427,10.520511,24.769628,6.272940
0.010000,55.324597,106.839247,0.255747,2.396107,10.768049,24.753817,6.272928
0.010000,55.349659,106.838990,0.280809,2.506263,11.015559,24.751044,6.272915
0.010000,55.375846,106.838721,0.306998,2.618894,11.263146,24.758638,6.272902
0.010000,55.403185,106.838440,0.334338,2.734002,11.510808,24.766221,6.272888
0.010000,55.431699,106.838146,0.362854,2.851587,11.758499,24.769123,6.272874
0.010000,55.461414,106.837839,0.392571,2.971647,12.005940,24.744127,6.272859
0.010000,55.492354,106.837519,0.423512,3.094182,12.253544,24.760420,6.272843
0.010000,55.524544,106.837186,0.455704,3.219195,12.501333,24.778903,6.272827
0.010000,55.558010,106.836839,0.489171,3.346684,12.748868,24.753439,6.272810
0.010000,55.592774,106.836478,0.523938,3.476648,12.996398,24.753017,6.272793
0.010000,55.628863,106.836103,0.560029,3.609090,13.244168,24.777036,6.272775
0.010000,55.666301,106.835713,0.597469,3.744008,13.491821,24.765238,6.272756
0.010000,55.705113,106.835308,0.636283,3.881401,13.739302,24.748161,6.272736
0.010000,55.745324,106.834887,0.676495,4.021273,13.987157,24.785459,6.272716
0.010000,55.786957,106.834451,0.718132,4.163620,14.234729,24.757191,6.272695
0.010000,55.830040,106.833998,0.761216,4.308443,14.482278,24.754957,6.272674
0.010000,55.874595,106.833529,0.805774,4.455745,14.730279,24.800062,6.272651
0.010000,55.920647,106.833044,0.851829,4.605521,14.977609,24.733027,6.272628
0.010000,55.968222,106.832541,0.899407,4.757777,15.225547,24.793749,6.272605
0.010000,56.017345,106.832021,0.948532,4.912508,15.473116,24.756957,6.272580
0.010000,56.068039,106.831482,0.999229,5.069717,15.720867,24.775088,6.272555
0.010000,56.120330,106.830926,1.051523,5.229403,15.968620,24.775224,6.272528
0.010000,56.174243,106.830350,1.105438,5.391566,16.216274,24.765398,6.272502
0.010000,56.229801,106.829756,1.161001,5.556207,16.464105,24.783132,6.272474
0.010000,56.287031,106.829142,1.218234,5.723324,16.711768,24.766363,6.272445
0.010000,56.345957,106.828508,1.277163,5.892920,16.959574,24.780517,6.272416
0.010000,56.406604,106.827854,1.337813,6.064994,17.207355,24.778153,6.272386
0.010000,56.468995,106.827180,1.400208,6.239544,17.455027,24.767218,6.272355
0.010000,56.533157,106.826484,1.464374,6.416574,17.703037,24.800930,6.272323
0.010000,56.599114,106.825766,1.530335,6.596080,17.950564,24.752777,6.272290
0.010000,56.666891,106.825026,1.598116,6.778066,18.198622,24.805772,6.272256
0.010000,56.736512,106.824264,1.667741,6.962529,18.446319,24.769691,6.272222
0.010000,56.808002,106.823479,1.739236,7.149470,18.694077,24.775807,6.272186
0.010000,56.881387,106.822671,1.812624,7.338892,18.942185,24.810835,6.272150
0.010000,56.956690,106.821838,1.887932,7.530790,19.189839,24.765363,6.272113
0.010000,57.033937,106.820982,1.965184,7.725167,19.437697,24.785810,6.272075
0.010000,57.113152,106.820100,2.044404,7.922025,19.685724,24.802725,6.272036
0.010000,57.194361,106.819193,2.125618,8.121361,19.933607,24.788221,6.271996
0.010000,57.277587,106.818260,2.208850,8.323175,20.181433,24.782666,6.271955
0.010000,57.362857,106.817300,2.294124,8.527469,20.429379,24.794526,6.271913
0.010000,57.450194,106.816314,2.381467,8.734243,20.677368,24.798958,6.271870
0.010000,57.539623,106.815300,2.470902,8.943497,20.925426,24.805821,6.271826
0.010000,57.631169,106.814258,2.562454,9.155230,21.173284,24.785718,6.271781
0.010000,57.724858,106.813187,2.656148,9.369442,21.421288,24.800430,6.271735
0.010000,57.820713,106.812087,2.752010,9.586136,21.669308,24.801994,6.271688
0.010000,57.918759,106.810958,2.850063,9.805309,21.917344,24.803595,6.271640
0.010000,58.019022,106.809797,2.950333,10.026963,22.165396,24.805234,6.271591
0.010000,58.121526,106.808606,3.052844,10.251098,22.413465,24.806911,6.271541
0.010000,58.226296,106.807384,3.157621,10.477713,22.661551,24.808626,6.271490
0.010000,58.333357,106.806129,3.264689,10.706810,22.909655,24.810381,6.271438
0.010000,58.442733,106.804841,3.374073,10.938387,23.157777,24.812175,6.271385
0.010000,58.554450,106.803520,3.485797,11.172447,23.405917,24.814010,6.271331
0.010000,58.668532,106.802164,3.599887,11.408987,23.654076,24.815885,6.271276
0.010000,58.785003,106.800773,3.716367,11.648010,23.902254,24.817802,6.271219
0.010000,58.903890,106.799347,3.835262,11.889514,24.150452,24.819761,6.271162
0.010000,59.025216,106.797885,3.956597,12.133501,24.398669,24.821762,6.271103
0.010000,59.149007,106.796386,4.080397,12.379970,24.646907,24.823806,6.271044
0.010000,59.275287,106.794848,4.206686,12.628922,24.895166,24.825894,6.270983
0.010000,59.404081,106.793273,4.335490,12.880356,25.143446,24.828026,6.270921
0.010000,59.535413,106.791658,4.466832,13.134275,25.391898,24.845182,6.270858
0.010000,59.669310,106.790003,4.600739,13.390676,25.640098,24.819994,6.270794
0.010000,59.805795,106.788307,4.737235,13.649561,25.888436,24.833741,6.270729
0.010000,59.944894,106.786570,4.876344,13.910929,26.136806,24.836999,6.270663
0.010000,60.086630,106.784790,5.018092,14.174783,26.385407,24.860134,6.270595
0.010000,60.231030,106.782967,5.162503,14.441119,26.633650,24.824325,6.270527
0.010000,60.378117,106.781100,5.309603,14.709940,26.882075,24.842446,6.270457
0.010000,60.527918,106.779188,5.459415,14.981248,27.130796,24.872103,6.270386
0.010000,60.680456,106.777230,5.611965,15.255039,27.379070,24.827448,6.270314
0.010000,60.835756,106.775225,5.767279,15.531316,27.627705,24.863466,6.270241
0.010000,60.993843,106.773173,5.925379,15.810079,27.876299,24.859408,6.270167
0.010000,61.154743,106.771072,6.086293,16.091327,28.124795,24.849595,6.270091
0.010000,61.318479,106.768921,6.250043,16.375062,28.373559,24.876460,6.270014
0.010000,61.485078,106.766721,6.416656,16.661283,28.622068,24.850816,6.269936
0.010000,61.654562,106.764468,6.586156,16.949992,28.870858,24.879065,6.269857
0.010000,61.826959,106.762164,6.758568,17.241187,29.119525,24.866679,6.269777
0.010000,62.002292,106.759805,6.933917,17.534869,29.368202,24.867682,6.269696
0.010000,62.180586,106.757393,7.112227,17.831040,29.617169,24.896730,6.269613
0.010000,62.361866,106.754925,7.293524,18.129698,29.865772,24.860303,6.269529
0.010000,62.546157,106.752400,7.477832,18.430845,30.114652,24.887941,6.269444
0.010000,62.733484,106.749818,7.665177,18.734481,30.363673,24.902110,6.269358
0.010000,62.923872,106.747177,7.855583,19.040606,30.612419,24.874579,6.269271
0.010000,63.117345,106.744476,8.049075,19.349219,30.861372,24.895300,6.269182
0.010000,63.313929,106.741714,8.245679,19.660323,31.110357,24.898555,6.269093
0.010000,63.513648,106.738890,8.445418,19.973917,31.359444,24.908652,6.269002
0.010000,63.716528,106.736003,8.648318,20.290002,31.608438,24.899450,6.268910
0.010000,63.922592,106.733052,8.854404,20.608577,31.857496,24.905750,6.268816
0.010000,64.131867,106.730035,9.063700,20.929643,32.106618,24.912226,6.268722
0.010000,64.344377,106.726951,9.276232,21.253201,32.355776,24.915786,6.268626
0.010000,64.560146,106.723799,9.492025,21.579250,32.604970,24.919408,6.268530
0.010000,64.779200,106.720577,9.711102,21.907792,32.854201,24.923093,6.268431
0.010000,65.001564,106.717285,9.933491,22.238827,33.103469,24.926843,6.268332
0.010000,65.227263,106.713921,10.159214,22.572355,33.352776,24.930658,6.268232
0.010000,65.456321,106.710484,10.388298,22.908376,33.602121,24.934538,6.268130
0.010000,65.688763,106.706973,10.620767,23.246891,33.851506,24.938484,6.268028
0.010000,65.924615,106.703385,10.856646,23.587901,34.100996,24.949055,6.267924
0.010000,66.163901,106.699720,11.095960,23.931405,34.350440,24.944391,6.267819
0.010000,66.406646,106.695977,11.338734,24.277405,34.599918,24.947766,6.267712
0.010000,66.652875,106.692154,11.584993,24.625899,34.849467,24.954895,6.267605
0.010000,66.902614,106.688249,11.834762,24.976891,35.099130,24.966271,6.267496
0.010000,67.155886,106.684261,12.088066,25.330378,35.348792,24.966192,6.267387
0.010000,67.412718,106.680189,12.344929,25.686362,35.598386,24.959437,6.267276
0.010000,67.673133,106.676030,12.605378,26.044845,35.848229,24.984287,6.267164
0.010000,67.937157,106.671785,12.869436,26.405824,36.097970,24.974075,6.267051
0.010000,68.204815,106.667451,13.137129,26.769302,36.347775,24.980581,6.266936
0.010000,68.476132,106.663026,13.408482,27.135279,36.597735,24.995992,6.266821
0.010000,68.751132,106.658509,13.683519,27.503755,36.847574,24.983824,6.266704
0.010000,69.029841,106.653899,13.962267,27.874731,37.097624,25.005002,6.266587
0.010000,69.312284,106.649194,14.244749,28.248208,37.347624,25.000044,6.266468
0.010000,69.598486,106.644392,14.530991,28.624184,37.597646,25.002165,6.266348
0.010000,69.888471,106.639491,14.821017,29.002663,37.847928,25.028201,6.266227
0.010000,70.182265,106.634491,15.114854,29.383643,38.097970,25.004241,6.266106
0.010000,70.479892,106.629389,15.412525,29.767125,38.348220,25.024942,6.265983
0.010000,70.781378,106.624183,15.714056,30.153111,38.598562,25.034214,6.265859
0.010000,71.086748,106.618872,16.019472,30.541600,38.848902,25.034011,6.265734
0.010000,71.396027,106.613455,16.328798,30.932593,39.099258,25.035667,6.265607
0.010000,71.709239,106.607929,16.642059,31.326090,39.349717,25.045810,6.265480
0.010000,72.026410,106.602292,16.959280,31.722092,39.600229,25.051211,6.265352
0.010000,72.347564,106.596544,17.280486,32.120600,39.850796,25.056697,6.265223
0.010000,72.672728,106.590681,17.605702,32.521614,40.101418,25.062267,6.265093
0.010000,73.001925,106.584703,17.934953,32.925135,40.352098,25.067922,6.264962
0.010000,73.335181,106.578608,18.268265,33.331163,40.602834,25.073663,6.264830
0.010000,73.672520,106.572392,18.605662,33.739700,40.853629,25.079489,6.264697
0.010000,74.013969,106.566056,18.947169,34.150745,41.104483,25.085401,6.264563
0.010000,74.359552,106.559597,19.292812,34.564299,41.355397,25.091401,6.264429
0.010000,74.709281,106.553012,19.642604,34.979123,41.482462,12.706521,6.264293
0.010000,75.063157,106.546302,19.996543,35.393979,41.485621,0.315875,6.264157
0.010000,75.421180,106.539464,20.354632,35.808867,41.488758,0.313720,6.264019
0.010000,75.783351,106.532497,20.716870,36.223787,41.491972,0.321387,6.263881
0.010000,76.149670,106.525399,21.083257,36.638740,41.495327,0.335440,6.263743
0.010000,76.520137,106.518169,21.453795,37.053725,41.498518,0.319122,6.263603
0.010000,76.894752,106.510806,21.828482,37.468744,41.501903,0.338558,6.263463
0.010000,77.273515,106.503308,22.207320,37.883797,41.505265,0.336199,6.263322
0.010000,77.656428,106.495674,22.590309,38.298883,41.508669,0.340397,6.263180
0.010000,78.043490,106.487902,22.977449,38.714005,41.512115,0.344588,6.263038
0.010000,78.434702,106.479991,23.368741,39.129161,41.515618,0.350335,6.262895
0.010000,78.830063,106.471939,23.764184,39.544352,41.519091,0.347228,6.262751
0.010000,79.229575,106.463746,24.163780,39.959579,41.522715,0.362447,6.262607
0.010000,79.633238,106.455409,24.567528,40.374842,41.526268,0.355261,6.262463
0.010000,80.041051,106.446927,24.975430,40.790140,41.529894,0.362622,6.262318
0.010000,80.453015,106.438299,25.387484,41.205476,41.533571,0.367673,6.262172
0.010000,80.869131,106.429524,25.803693,41.620849,41.537311,0.373989,6.262026
0.010000,81.289399,106.420599,26.224055,42.036260,41.541026,0.371486,6.261880
0.010000,81.713819,106.411524,26.648573,42.451708,41.544807,0.378136,6.261734
0.010000,82.142392,106.402298,27.077244,42.867194,41.548628,0.382114,6.261587
0.010000,82.575117,106.392918,27.510072,43.282719,41.552485,0.385743,6.261439
0.010000,83.011996,106.383384,27.947055,43.698283,41.556379,0.389389,6.261292
0.010000,83.453028,106.373694,28.388193,44.113886,41.560310,0.393050,6.261144
0.010000,83.898215,106.363847,28.833489,44.529528,41.564277,0.396727,6.260996
0.010000,84.347556,106.353842,29.282941,44.945211,41.568281,0.400417,6.260848
0.010000,84.801051,106.343676,29.736550,45.360935,41.572331,0.404955,6.260700
0.010000,85.258701,106.333350,30.194317,45.776699,41.576417,0.408634,6.260551
0.010000,85.720507,106.322862,30.656242,46.192504,41.580518,0.410089,6.260403
0.010000,86.186469,106.312210,31.122326,46.608351,41.584671,0.415242,6.260255
0.010000,86.656587,106.301393,31.592568,47.024239,41.588876,0.420502,6.260106
0.010000,87.130862,106.290410,32.066970,47.440170,41.593106,0.423003,6.259958
0.010000,87.609293,106.279259,32.545531,47.856144,41.597352,0.424682,6.259810
0.010000,88.091882,106.267940,33.028253,48.272161,41.601684,0.433177,6.259661
0.010000,88.578616,106.256452,33.515123,48.686980,41.481935,-11.974915,6.259513
0.010000,89.069472,106.244794,34.006116,49.099362,41.238181,-24.375413,6.259366
0.010000,89.564423,106.232966,34.501209,49.509306,40.994393,-24.378790,6.259218
0.010000,90.063447,106.220966,35.000377,49.916812,40.750642,-24.375100,6.259071
0.010000,90.566519,106.208796,35.503596,50.321881,40.506853,-24.378945,6.258924
0.010000,91.073614,106.196453,36.010841,50.724512,40.263093,-24.375907,6.258777
0.010000,91.584708,106.183938,36.522088,51.124705,40.019319,-24.377460,6.258631
0.010000,92.099776,106.171251,37.037313,51.522460,39.775539,-24.377941,6.258485
0.010000,92.618794,106.158391,37.556491,51.917778,39.531764,-24.377554,6.258340
0.010000,93.141739,106.145357,38.079597,52.310658,39.287987,-24.377670,6.258195
0.010000,93.668584,106.132151,38.606608,52.701100,39.044198,-24.378909,6.258051
0.010000,94.199307,106.118770,39.137499,53.089104,38.800407,-24.379087,6.257908
0.010000,94.733881,106.105217,39.672246,53.474670,38.556612,-24.379561,6.257765
0.010000,95.272284,106.091489,40.210824,53.857798,38.312809,-24.380225,6.257623
0.010000,95.814491,106.077587,40.753209,54.238488,38.069000,-24.380947,6.257482
0.010000,96.360477,106.063512,41.299376,54.616740,37.825183,-24.381728,6.257341
0.010000,96.910218,106.049263,41.849302,54.992553,37.581357,-24.382569,6.257202
0.010000,97.463689,106.034840,42.402961,55.365929,37.337522,-24.383471,6.257063
0.010000,98.020867,106.020243,42.960330,55.736865,37.093678,-24.384433,6.256925
0.010000,98.581726,106.005473,43.521383,56.105364,36.849823,-24.385457,6.256788
0.010000,99.146243,105.990530,44.086098,56.471423,36.605955,-24.386823,6.256653
0.010000,99.714392,105.975413,44.654448,56.835044,36.362077,-24.387781,6.256518
0.010000,100.286150,105.960124,45.226410,57.196226,36.118190,-24.388771,6.256384
0.010000,100.861492,105.944662,45.801960,57.554969,35.874288,-24.390194,6.256252
