dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,55.166587,130.841207,0.000012,0.002491,0.249084,24.908409,0.002038
0.010000,55.166593,130.841207,0.000018,0.000598,-0.189312,-43.839582,0.002038
0.010000,55.166606,130.841207,0.000032,0.001345,0.074715,26.402722,0.002037
0.010000,55.166630,130.841207,0.000056,0.002391,0.104602,2.988634,0.002035
0.010000,55.166668,130.841207,0.000093,0.003736,0.134488,2.988657,0.002032
0.010000,55.166721,130.841207,0.000147,0.005380,0.164375,2.988694,0.002027
0.010000,55.166795,130.841208,0.000220,0.007322,0.194263,2.988749,0.002021
0.010000,55.166890,130.841208,0.000316,0.009564,0.224151,2.988826,0.002013
0.010000,55.167011,130.841208,0.000437,0.012104,0.254040,2.988928,0.002003
0.010000,55.167161,130.841208,0.000586,0.014943,0.283931,2.989059,0.001990
0.010000,55.167341,130.841209,0.000767,0.018082,0.313823,2.989222,0.001975
0.010000,55.167557,130.841209,0.000982,0.021519,0.343717,2.989421,0.001957
0.010000,55.167809,130.841210,0.001235,0.025255,0.373614,2.989660,0.001936
0.010000,55.168102,130.841210,0.001528,0.029290,0.403513,2.989942,0.001912
0.010000,55.168438,130.841211,0.001864,0.033624,0.433416,2.990270,0.001884
0.010000,55.168821,130.841212,0.002247,0.038257,0.463323,2.990650,0.001852
0.010000,55.169253,130.841212,0.002678,0.043190,0.493233,2.991082,0.001816
0.010000,55.169737,130.841213,0.003163,0.048421,0.523149,2.991572,0.001776
0.010000,55.170277,130.841214,0.003702,0.053952,0.553070,2.992123,0.001731
0.010000,55.170874,130.841215,0.004300,0.059782,0.582998,2.992739,0.001681
0.010000,55.171533,130.841216,0.004959,0.065911,0.612932,2.993422,0.001626
0.010000,55.172257,130.841217,0.005683,0.072340,0.642874,2.994176,0.001566
0.010000,55.173048,130.841219,0.006473,0.079068,0.672824,2.995005,0.001500
0.010000,55.173909,130.841220,0.007334,0.086096,0.702783,2.995912,0.001428
0.010000,55.174843,130.841221,0.008268,0.093424,0.732752,2.996901,0.001350
0.010000,55.175853,130.841222,0.009279,0.101051,0.762732,2.997973,0.001266
0.010000,55.176943,130.841224,0.010369,0.108978,0.792723,2.999134,0.001175
0.010000,55.178115,130.841225,0.011541,0.117205,0.822727,3.000387,0.001078
0.010000,55.179372,130.841226,0.012798,0.125733,0.852744,3.001733,0.000973
0.010000,55.180718,130.841228,0.014144,0.134561,0.882776,3.003177,0.000861
0.010000,55.182155,130.841229,0.015581,0.143689,0.912823,3.004721,0.000741
0.010000,55.183686,130.841230,0.017112,0.153118,0.942887,3.006369,0.000613
0.010000,55.185315,130.841231,0.018740,0.162847,0.972968,3.008124,0.000478
0.010000,55.187043,130.841231,0.020469,0.172878,1.003068,3.009988,0.000334
0.010000,55.188875,130.841232,0.022301,0.183210,1.033188,3.011964,0.000181
0.010000,55.190814,130.841232,0.024240,0.193843,1.063328,3.014055,0.000019
0.010000,55.207993,130.841231,0.041418,1.717887,152.404401,15134.107287,6.283034
0.010000,55.228147,130.841226,0.061573,2.015446,29.755857,-12264.854421,6.282854
0.010000,55.249374,130.841217,0.082800,2.122712,10.726571,-1902.928559,6.282664
0.010000,55.271702,130.841203,0.105127,2.232736,11.002446,27.587453,6.282464
0.010000,55.295157,130.841184,0.128582,2.345516,11.278038,27.559204,6.282255
0.010000,55.319767,130.841158,0.153193,2.461050,11.553333,27.529541,6.282034
0.010000,55.345561,130.841125,0.178986,2.579333,11.828318,27.498433,6.281804
0.010000,55.372564,130.841085,0.205990,2.700363,12.102976,27.465850,6.281562
0.010000,55.400806,130.841035,0.234231,2.824136,12.377294,27.431762,6.281309
0.010000,55.430327,130.840976,0.263752,2.952113,12.797764,42.047074,6.281045
0.010000,55.461166,130.840906,0.294592,3.083941,13.182826,38.506190,6.280769
0.010000,55.493327,130.840824,0.326753,3.216095,13.215317,3.249110,6.280481
0.010000,55.526836,130.840728,0.360263,3.350979,13.488465,27.314804,6.280180
0.010000,55.561722,130.840618,0.395148,3.488591,13.761192,27.272645,6.279868
0.010000,55.598011,130.840491,0.431438,3.628926,14.033480,27.228806,6.279542
0.010000,55.635731,130.840347,0.469158,3.771979,14.305313,27.183261,6.279204
0.010000,55.674944,130.840184,0.508371,3.921395,14.941598,63.628500,6.278852
0.010000,55.715659,130.840001,0.549087,4.071542,15.014705,7.310694,6.278487
0.010000,55.757888,130.839794,0.591316,4.222918,15.137579,12.287457,6.278108
0.010000,55.801657,130.839563,0.635086,4.376996,15.407756,27.017652,6.277714
0.010000,55.846994,130.839306,0.680424,4.533769,15.677386,26.963064,6.277307
