dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,55.191046,118.841232,0.000012,0.002496,0.249618,24.961766,0.002038
0.010000,55.191046,118.841232,0.000062,0.007489,0.499235,24.961766,0.002038
0.010000,55.191046,118.841232,0.000175,0.014977,0.748853,24.961766,0.002037
0.010000,55.191046,118.841232,0.000374,0.024962,0.998471,24.961766,0.002035
0.010000,55.191046,118.841232,0.000686,0.037443,1.248088,24.961766,0.002031
0.010000,55.191046,118.841232,0.001136,0.052420,1.497706,24.961766,0.002027
0.010000,55.191046,118.841232,0.001747,0.069893,1.747324,24.961766,0.002021
0.010000,55.191046,118.841232,0.002546,0.089862,1.996941,24.961766,0.002013
0.010000,55.191046,118.841232,0.003557,0.112328,2.246559,24.961766,0.002003
0.010000,55.191046,118.841232,0.004805,0.137290,2.496177,24.961766,0.001990
0.010000,55.191046,118.841232,0.006315,0.164748,2.745794,24.961766,0.001975
0.010000,55.191046,118.841232,0.008113,0.194702,2.995412,24.961766,0.001957
0.010000,55.191046,118.841232,0.010222,0.227152,3.245030,24.961766,0.001936
0.010000,55.191046,118.841232,0.012668,0.262099,3.494647,24.961766,0.001912
0.010000,55.191046,118.841232,0.015476,0.299541,3.744265,24.961766,0.001884
0.010000,55.191046,118.841232,0.018671,0.339480,3.993882,24.961766,0.001852
0.010000,55.191046,118.841232,0.022278,0.381915,4.243500,24.961766,0.001816
0.010000,55.191046,118.841232,0.026322,0.426846,4.493118,24.961766,0.001775
0.010000,55.191046,118.841232,0.030828,0.474274,4.742735,24.961766,0.001730
0.010000,55.191046,118.841232,0.035820,0.524197,4.992353,24.961766,0.001680
0.010000,55.191046,118.841232,0.041324,0.576617,5.241971,24.961766,0.001625
0.010000,55.191046,118.841232,0.047365,0.631533,5.491588,24.961766,0.001565
0.010000,55.191046,118.841232,0.053967,0.688945,5.741206,24.961766,0.001499
0.010000,55.191046,118.841232,0.061156,0.748853,5.990824,24.961766,0.001427
0.010000,55.191046,118.841232,0.068957,0.811257,6.240441,24.961766,0.001349
0.010000,55.191046,118.841232,0.077394,0.876158,6.490059,24.961766,0.001264
0.010000,55.191046,118.841232,0.086493,0.943555,6.739677,24.961766,0.001173
0.010000,55.191046,118.841232,0.096278,1.013448,6.989294,24.961766,0.001075
0.010000,55.191046,118.841232,0.106774,1.085837,7.238912,24.961766,0.000970
0.010000,55.191046,118.841232,0.118007,1.160722,7.488530,24.961766,0.000858
0.010000,55.191046,118.841232,0.130001,1.238104,7.738147,24.961766,0.000738
0.010000,55.191046,118.841232,0.142781,1.317981,7.987765,24.961766,0.000610
0.010000,55.191046,118.841232,0.156373,1.400355,8.237383,24.961766,0.000474
0.010000,55.191046,118.841232,0.170801,1.485225,8.487000,24.961766,0.000330
0.010000,55.191046,118.841232,0.186090,1.572591,8.736618,24.961766,0.000177
0.010000,55.191046,118.841232,0.202265,1.662454,8.986236,24.961766,0.000015
0.010000,55.206645,118.841231,0.219352,1.754812,9.235853,24.961766,6.283029
0.010000,55.224676,118.841226,0.237374,1.849667,9.485471,24.961766,6.282849
0.010000,55.243667,118.841218,0.256357,1.947018,9.735089,24.961766,6.282658
0.010000,55.263641,118.841206,0.276327,2.046865,9.984706,24.961766,6.282458
0.010000,55.284624,118.841188,0.297307,2.149208,10.234324,24.961766,6.282248
0.010000,55.306640,118.841165,0.319323,2.254047,10.483942,24.961766,6.282028
0.010000,55.329713,118.841136,0.342401,2.361383,10.733559,24.961766,6.281796
0.010000,55.353868,118.841099,0.366564,2.471215,10.983177,24.961766,6.281554
0.010000,55.379130,118.841055,0.391837,2.583543,11.232794,24.961766,6.281301
0.010000,55.405537,118.841002,0.418247,2.698367,11.482412,24.961766,6.281036
0.010000,55.433121,118.840939,0.445817,2.815687,11.732030,24.961766,6.280759
0.010000,55.461886,118.840865,0.474573,2.935504,11.981647,24.961766,6.280470
0.010000,55.491856,118.840779,0.504540,3.057816,12.231265,24.961766,6.280170
0.010000,55.523056,118.840680,0.535742,3.182625,12.480883,24.961766,6.279856
0.010000,55.555509,118.840566,0.568205,3.309930,12.730500,24.961766,6.279530
0.010000,55.589241,118.840437,0.601953,3.439731,12.980118,24.961766,6.279191
