dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,55.215502,106.841257,0.000030,0.005903,0.590265,59.026481,0.002038
0.010000,55.215488,106.841257,0.000044,0.001416,-0.448620,-103.888460,0.002037
0.010000,55.215456,106.841257,0.000076,0.003187,0.177057,62.567636,0.002034
0.010000,55.215400,106.841257,0.000132,0.005666,0.247880,7.082346,0.002030
0.010000,55.215311,106.841257,0.000221,0.008853,0.318705,7.082473,0.002022
0.010000,55.215184,106.841256,0.000348,0.012748,0.389532,7.082681,0.002012
0.010000,55.215010,106.841256,0.000522,0.017352,0.460361,7.082991,0.001997
0.010000,55.214783,106.841256,0.000748,0.022664,0.531196,7.083421,0.001978
0.010000,55.214497,106.841255,0.001035,0.028684,0.602036,7.083994,0.001954
0.010000,55.214142,106.841254,0.001389,0.035413,0.672883,7.084728,0.001925
0.010000,55.213714,106.841254,0.001818,0.042850,0.743739,7.085644,0.001889
0.010000,55.213204,106.841253,0.002328,0.050996,0.814607,7.086761,0.001847
0.010000,55.212605,106.841251,0.002926,0.059851,0.885488,7.088101,0.001797
0.010000,55.211911,106.841250,0.003620,0.069415,0.956385,7.089682,0.001739
0.010000,55.211114,106.841249,0.004417,0.079688,1.027300,7.091524,0.001672
0.010000,55.210208,106.841247,0.005324,0.090670,1.098236,7.093646,0.001597
0.010000,55.209184,106.841246,0.006348,0.102362,1.169197,7.096069,0.001512
0.010000,55.208036,106.841244,0.007495,0.114764,1.240185,7.098811,0.001416
0.010000,55.206758,106.841242,0.008774,0.127876,1.311204,7.101890,0.001309
0.010000,55.205341,106.841241,0.010191,0.141699,1.382257,7.105326,0.001191
0.010000,55.203778,106.841239,0.011753,0.156232,1.453349,7.109137,0.001061
0.010000,55.202064,106.841237,0.013468,0.171477,1.524482,7.113341,0.000918
0.010000,55.200189,106.841236,0.015343,0.187434,1.595662,7.117956,0.000762
0.010000,55.198148,106.841234,0.017384,0.204103,1.666892,7.122998,0.000592
0.010000,55.195933,106.841233,0.019598,0.221485,1.738177,7.128484,0.000407
0.010000,55.193538,106.841232,0.021994,0.239580,1.809521,7.134431,0.000208
0.010000,55.191719,106.841232,0.023813,0.181864,-5.771601,-758.112166,6.283178
0.010000,55.212090,106.841230,0.044184,2.037079,185.521503,19129.310385,6.282946
0.010000,55.233937,106.841222,0.066031,2.184763,14.768467,-17075.303572,6.282697
0.010000,55.257313,106.841207,0.089407,2.337554,15.279076,51.060871,6.282431
0.010000,55.282267,106.841185,0.114361,2.495441,15.788630,50.955391,6.282147
0.010000,55.308851,106.841153,0.140945,2.658411,16.297059,50.842865,6.281844
0.010000,55.337116,106.841111,0.169210,2.826454,16.804290,50.723096,6.281522
0.010000,55.367111,106.841056,0.199205,2.999556,17.310249,50.595894,6.281180
0.010000,55.398926,106.840986,0.231020,3.181474,18.191771,88.152280,6.280817
0.010000,55.432579,106.840900,0.264673,3.365298,18.382398,19.062709,6.280433
0.010000,55.468116,106.840795,0.300211,3.553741,18.844286,46.188717,6.280027
0.010000,55.505588,106.840669,0.337682,3.747191,19.345009,50.072359,6.279599
