dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.011987,311.999994,0.000012,0.002499,0.249904,24.990436,0.000999
0.010000,-0.011985,311.999994,0.000015,0.000249,-0.224964,-47.486820,0.000999
0.010000,-0.011979,311.999994,0.000021,0.000561,0.031176,25.613952,0.000998
0.010000,-0.011969,311.999994,0.000031,0.000998,0.043646,1.247038,0.000997
0.010000,-0.011954,311.999994,0.000046,0.001559,0.056117,1.247054,0.000996
0.010000,-0.011931,311.999994,0.000069,0.002245,0.068587,1.247081,0.000994
0.010000,-0.011901,311.999994,0.000099,0.003055,0.081059,1.247120,0.000992
0.010000,-0.011861,311.999994,0.000139,0.003991,0.093530,1.247176,0.000988
0.010000,-0.011810,311.999994,0.000190,0.005051,0.106003,1.247249,0.000984
0.010000,-0.011748,311.999994,0.000252,0.006235,0.118476,1.247343,0.000979
0.010000,-0.011673,311.999994,0.000327,0.007545,0.130951,1.247461,0.000973
0.010000,-0.011583,311.999994,0.000417,0.008979,0.143427,1.247604,0.000965
0.010000,-0.011477,311.999995,0.000523,0.010538,0.155905,1.247777,0.000956
0.010000,-0.011355,311.999995,0.000645,0.012222,0.168385,1.247980,0.000946
0.010000,-0.011215,311.999995,0.000785,0.014031,0.180867,1.248217,0.000935
0.010000,-0.011055,311.999995,0.000945,0.015964,0.193352,1.248491,0.000921
0.010000,-0.010875,311.999995,0.001125,0.018023,0.205840,1.248803,0.000906
0.010000,-0.010673,311.999995,0.001327,0.020206,0.218331,1.249157,0.000889
0.010000,-0.010448,311.999995,0.001552,0.022514,0.230827,1.249555,0.000871
0.010000,-0.010198,311.999996,0.001802,0.024947,0.243327,1.250000,0.000850
0.010000,-0.009923,311.999996,0.002077,0.027506,0.255832,1.250495,0.000827
0.010000,-0.009621,311.999996,0.002379,0.030189,0.268342,1.251041,0.000802
0.010000,-0.009291,311.999996,0.002709,0.032998,0.280859,1.251643,0.000774
0.010000,-0.008932,311.999997,0.003068,0.035932,0.293382,1.252301,0.000744
0.010000,-0.008542,311.999997,0.003458,0.038991,0.305912,1.253019,0.000712
0.010000,-0.008120,311.999997,0.003880,0.042175,0.318450,1.253800,0.000677
0.010000,-0.007666,311.999998,0.004334,0.045485,0.330996,1.254646,0.000639
