dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,300.000000,0.000012,0.002499,0.249869,24.986897,0.000999
0.010000,0.000000,300.000000,0.000062,0.007496,0.499738,24.986897,0.000999
0.010000,0.000000,300.000000,0.000175,0.014992,0.749607,24.986897,0.000998
0.010000,0.000000,300.000000,0.000375,0.024987,0.999476,24.986897,0.000997
0.010000,0.000000,300.000000,0.000687,0.037480,1.249345,24.986897,0.000996
0.010000,0.000000,300.000000,0.001137,0.052472,1.499214,24.986897,0.000994
0.010000,0.000000,300.000000,0.001749,0.069963,1.749083,24.986897,0.000992
0.010000,0.000000,300.000000,0.002549,0.089953,1.998952,24.986897,0.000988
0.010000,0.000000,300.000000,0.003561,0.112441,2.248821,24.986897,0.000984
0.010000,0.000000,300.000000,0.004810,0.137428,2.498690,24.986897,0.000979
0.010000,0.000000,300.000000,0.006322,0.164914,2.748559,24.986897,0.000973
0.010000,0.000000,300.000000,0.008121,0.194898,2.998428,24.986897,0.000965
0.010000,0.000000,300.000000,0.010232,0.227381,3.248297,24.986897,0.000956
0.010000,0.000000,300.000000,0.012681,0.262362,3.498166,24.986897,0.000946
0.010000,0.000000,300.000000,0.015492,0.299843,3.748035,24.986897,0.000935
0.010000,0.000000,300.000000,0.018690,0.339822,3.997903,24.986897,0.000921
0.010000,0.000000,300.000000,0.022301,0.382300,4.247772,24.986897,0.000906
0.010000,0.000000,300.000000,0.026349,0.427276,4.497641,24.986897,0.000889
0.010000,0.000000,300.000000,0.030859,0.474751,4.747510,24.986897,0.000871
0.010000,0.000000,300.000000,0.035856,0.524725,4.997379,24.986897,0.000850
0.010000,0.000000,300.000000,0.041366,0.577197,5.247248,24.986897,0.000827
0.010000,0.000000,300.000000,0.047413,0.632168,5.497117,24.986897,0.000802
0.010000,0.000000,300.000000,0.054022,0.689638,5.746986,24.986897,0.000774
0.010000,0.000000,300.000000,0.061218,0.749607,5.996855,24.986897,0.000744
0.010000,0.000000,300.000000,0.069026,0.812074,6.246724,24.986897,0.000712
0.010000,0.000000,300.000000,0.077472,0.877040,6.496593,24.986897,0.000677
0.010000,0.000000,300.000000,0.086580,0.944505,6.746462,24.986897,0.000639
0.010000,0.000000,300.000000,0.096374,1.014468,6.996331,24.986897,0.000598
0.010000,0.000000,300.000000,0.106881,1.086930,7.246200,24.986897,0.000554
0.010000,0.000000,300.000000,0.118126,1.161891,7.496069,24.986897,0.000508
0.010000,0.000000,300.000000,0.130132,1.239350,7.745938,24.986897,0.000458
0.010000,0.000000,300.000000,0.142925,1.319308,7.995807,24.986897,0.000404
0.010000,0.000000,300.000000,0.156530,1.401765,8.245676,24.986897,0.000348
0.010000,0.000000,300.000000,0.170973,1.486720,8.495545,24.986897,0.000288
0.010000,0.000000,300.000000,0.186277,1.574174,8.745414,24.986897,0.000224
0.010000,0.000000,300.000000,0.202469,1.664127,8.995283,24.986897,0.000156
0.010000,0.000000,300.000000,0.219572,1.756579,9.245152,24.986897,0.000085
0.010000,0.000000,300.000000,0.237613,1.851529,9.495021,24.986897,0.000010
0.010000,0.016623,299.999999,0.256615,1.948978,9.744890,24.986897,6.283116
0.010000,0.036620,299.999997,0.276605,2.048926,9.994759,24.986897,6.283033
0.010000,0.057628,299.999993,0.297606,2.151372,10.244628,24.986897,6.282945
0.010000,0.079671,299.999987,0.319645,2.256317,10.494497,24.986897,6.282853
0.010000,0.102775,299.999978,0.342745,2.363760,10.744366,24.986897,6.282757
0.010000,0.126962,299.999966,0.366933,2.473703,10.994235,24.986897,6.282656
0.010000,0.152260,299.999952,0.392232,2.586144,11.244104,24.986897,6.282550
0.010000,0.178691,299.999933,0.418668,2.701084,11.493972,24.986897,6.282440
0.010000,0.206280,299.999911,0.446266,2.818522,11.743841,24.986897,6.282325
0.010000,0.235053,299.999885,0.475051,2.938459,11.993710,24.986897,6.282204
0.010000,0.265059,299.999853,0.505048,3.060895,12.243579,24.986897,6.282079
0.010000,0.296303,299.999817,0.536281,3.185829,12.493448,24.986897,6.281948
0.010000,0.328805,299.999774,0.568777,3.313263,12.743317,24.986897,6.281812
0.010000,0.362589,299.999726,0.602559,3.443194,12.993186,24.986897,6.281671
0.010000,0.397680,299.999670,0.637653,3.575625,13.243055,24.986897,6.281524
0.010000,0.434102,299.999607,0.674084,3.710554,13.492924,24.986897,6.281372
0.010000,0.471880,299.999535,0.711877,3.847982,13.742793,24.986897,6.281213
0.010000,0.511069,299.999455,0.751056,3.987909,13.992662,24.986897,6.281049
0.010000,0.551672,299.999364,0.791647,4.130334,14.242531,24.986897,6.280879
0.010000,0.593705,299.999264,0.833675,4.275258,14.492400,24.986897,6.280702
0.010000,0.637191,299.999152,0.877165,4.422681,14.742269,24.986897,6.280520
0.010000,0.682156,299.999028,0.922141,4.572602,14.992138,24.986897,6.280331
0.010000,0.728621,299.998891,0.968617,4.722523,14.992138,0.000000,6.280136
0.010000,0.776612,299.998739,1.016592,4.872445,14.992138,0.000000,6.279934
0.010000,0.826094,299.998573,1.066066,5.022366,14.992138,-0.000000,6.279725
0.010000,0.877064,299.998392,1.117039,5.172288,14.992138,0.000000,6.279511
0.010000,0.929522,299.998193,1.169512,5.322209,14.992138,-0.000000,6.279290
0.010000,0.983492,299.997977,1.223483,5.472130,14.992138,0.000000,6.279062
0.010000,1.038978,299.997741,1.278954,5.622052,14.992138,-0.000000,6.278828
