dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.011987,288.000006,0.000012,0.002490,0.248992,24.899220,0.000999
0.010000,0.011983,288.000006,0.000017,0.000414,-0.207576,-45.656860,0.000999
0.010000,0.011974,288.000006,0.000026,0.000932,0.051770,25.934626,0.000998
0.010000,0.011957,288.000006,0.000042,0.001657,0.072478,2.070824,0.000996
0.010000,0.011931,288.000006,0.000068,0.002589,0.093187,2.070869,0.000994
0.010000,0.011894,288.000006,0.000106,0.003727,0.113896,2.070942,0.000991
0.010000,0.011843,288.000006,0.000156,0.005074,0.134607,2.071052,0.000987
0.010000,0.011777,288.000006,0.000223,0.006627,0.155319,2.071204,0.000981
0.010000,0.011693,288.000006,0.000307,0.008387,0.176033,2.071407,0.000974
0.010000,0.011589,288.000006,0.000410,0.010355,0.196750,2.071666,0.000966
0.010000,0.011464,288.000005,0.000535,0.012529,0.217469,2.071991,0.000955
0.010000,0.011315,288.000005,0.000684,0.014911,0.238193,2.072387,0.000943
0.010000,0.011140,288.000005,0.000859,0.017500,0.258922,2.072861,0.000928
0.010000,0.010937,288.000005,0.001062,0.020297,0.279656,2.073422,0.000911
0.010000,0.010704,288.000005,0.001295,0.023301,0.300397,2.074076,0.000892
0.010000,0.010439,288.000005,0.001561,0.026512,0.321145,2.074830,0.000870
0.010000,0.010140,288.000004,0.001860,0.029931,0.341902,2.075692,0.000845
0.010000,0.009804,288.000004,0.002195,0.033558,0.362669,2.076669,0.000817
0.010000,0.009430,288.000004,0.002569,0.037393,0.383446,2.077767,0.000786
0.010000,0.009016,288.000003,0.002984,0.041435,0.404236,2.078995,0.000751
0.010000,0.008559,288.000003,0.003441,0.045685,0.425040,2.080359,0.000713
0.010000,0.008057,288.000003,0.003942,0.050144,0.445859,2.081867,0.000671
0.010000,0.007509,288.000002,0.004490,0.054811,0.466694,2.083526,0.000626
0.010000,0.006912,288.000002,0.005087,0.059686,0.487547,2.085343,0.000576
0.010000,0.006265,288.000002,0.005735,0.064771,0.508421,2.087326,0.000522
0.010000,0.005564,288.000001,0.006435,0.070064,0.529315,2.089481,0.000464
0.010000,0.004808,288.000001,0.007191,0.075566,0.550234,2.091817,0.000401
0.010000,0.003996,288.000001,0.008004,0.081278,0.571177,2.094340,0.000333
0.010000,0.003124,288.000000,0.008876,0.087199,0.592148,2.097058,0.000260
0.010000,0.002190,288.000000,0.009809,0.093331,0.613147,2.099979,0.000183
0.010000,0.001194,288.000000,0.010806,0.099673,0.634178,2.103109,0.000099
0.010000,0.000131,288.000000,0.011868,0.106225,0.655243,2.106456,0.000011
0.010000,0.010988,288.000000,0.022724,1.085627,97.940248,9728.500449,6.283102
0.010000,0.024184,287.999998,0.035921,1.319679,23.405207,-7453.504021,6.283002
0.010000,0.038167,287.999994,0.049904,1.398266,7.858650,-1554.655711,6.282896
0.010000,0.052958,287.999989,0.064695,1.479103,8.083705,22.505456,6.282784
0.010000,0.068580,287.999982,0.080317,1.562187,8.308443,22.473814,6.282665
0.010000,0.085055,287.999973,0.096792,1.647516,8.532847,22.440370,6.282540
0.010000,0.102406,287.999960,0.114143,1.735085,8.756897,22.405076,6.282409
0.010000,0.120655,287.999945,0.132392,1.824891,8.980576,22.367882,6.282270
0.010000,0.139832,287.999926,0.151569,1.917720,9.282982,30.240569,6.282124
0.010000,0.159964,287.999903,0.171701,2.013209,9.548806,26.582421,6.281971
0.010000,0.181062,287.999876,0.192799,2.109796,9.658794,10.998796,6.281811
0.010000,0.203148,287.999843,0.214885,2.208607,9.881001,22.220738,6.281642
0.010000,0.226244,287.999806,0.237981,2.309634,10.102734,22.173220,6.281467
0.010000,0.250373,287.999762,0.262110,2.412874,10.323969,22.123506,6.281283
0.010000,0.275568,287.999712,0.287305,2.519510,10.663660,33.969096,6.281091
0.010000,0.301854,287.999654,0.313591,2.628596,10.908544,24.488424,6.280890
0.010000,0.329240,287.999588,0.340977,2.738549,10.995380,8.683635,6.280681
0.010000,0.357746,287.999514,0.369484,2.850695,11.214608,21.922741,6.280463
0.010000,0.387397,287.999430,0.399134,2.965028,11.433220,21.861203,6.280236
0.010000,0.418235,287.999335,0.429972,3.083837,11.880957,44.773728,6.280000
0.010000,0.450269,287.999229,0.462006,3.203425,11.958787,7.783046,6.279755
0.010000,0.483513,287.999111,0.495250,3.324396,12.097093,13.830597,6.279500
0.010000,0.517988,287.998979,0.529726,3.447528,12.313194,21.610094,6.279236
0.010000,0.553743,287.998833,0.565481,3.575520,12.799241,48.604638,6.278961
0.010000,0.590782,287.998671,0.602520,3.703945,12.842473,4.323202,6.278677
0.010000,0.629118,287.998493,0.640857,3.833642,12.969728,12.725559,6.278382
0.010000,0.668783,287.998296,0.680522,3.966559,13.291648,32.191998,6.278076
0.010000,0.709817,287.998080,0.721558,4.103523,13.696398,40.474998,6.277760
0.010000,0.752214,287.997843,0.763955,4.239723,13.620005,-7.639309,6.277433
0.010000,0.796001,287.997584,0.807742,4.378732,13.900898,28.089253,6.277095
0.010000,0.841229,287.997301,0.852972,4.522953,14.422096,52.119783,6.276745
0.010000,0.887884,287.996992,0.899627,4.665585,14.263193,-15.890233,6.276384
0.010000,0.936002,287.996656,0.947747,4.811907,14.632207,36.901415,6.276011
0.010000,0.985621,287.996290,0.997367,4.962033,15.012602,38.039454,6.275626
0.010000,1.036729,287.995893,1.048477,5.111017,14.898417,-11.418443,6.275229
0.010000,1.089387,287.995464,1.101136,5.265923,15.490642,59.222420,6.274819
0.010000,1.143590,287.994999,1.155342,5.420534,15.461017,-2.962441,6.274397
0.010000,1.199364,287.994497,1.211118,5.577597,15.706354,24.533695,6.273962
0.010000,1.256749,287.993954,1.268505,5.738776,16.117907,41.155247,6.273514
0.010000,1.315732,287.993370,1.327491,5.898611,15.983471,-13.443561,6.273052
0.010000,1.376386,287.992741,1.388148,6.065669,16.705840,72.236899,6.272577
0.010000,1.438674,287.992065,1.450440,6.229220,16.355048,-35.079203,6.272088
0.010000,1.502678,287.991339,1.514448,6.400816,17.159587,80.453893,6.271585
0.010000,1.568361,287.990560,1.580136,6.568764,16.794794,-36.479332,6.271068
0.010000,1.635803,287.989725,1.647583,6.744720,17.595649,80.085535,6.270536
0.010000,1.704968,287.988831,1.716754,6.917055,17.233470,-36.217926,6.269990
0.010000,1.775936,287.987874,1.787728,7.097401,18.034648,80.117865,6.269428
0.010000,1.848676,287.986853,1.860475,7.274757,17.735557,-29.909167,6.268851
0.010000,1.923237,287.985762,1.935044,7.456877,18.211979,47.642255,6.268259
0.010000,1.999597,287.984599,2.011413,7.636882,18.000487,-21.149255,6.267651
0.010000,2.077753,287.983360,2.089579,7.816583,17.970135,-3.035186,6.267028
0.010000,2.157730,287.982042,2.169567,7.998795,18.221182,25.104685,6.266389
0.010000,2.239491,287.980642,2.251340,8.177276,17.848123,-37.305840,6.265734
0.010000,2.323062,287.979156,2.334924,8.358433,18.115683,26.755934,6.265064
0.010000,2.408436,287.977579,2.420313,8.538900,18.046723,-6.895954,6.264377
0.010000,2.495595,287.975909,2.507488,8.717474,17.857442,-18.928108,6.263675
0.010000,2.584561,287.974141,2.596471,8.898302,18.082747,22.530539,6.262956
0.010000,2.675327,287.972271,2.687257,9.078613,18.031081,-5.166640,6.262221
0.010000,2.767878,287.970296,2.779829,9.257181,17.856856,-17.422461,6.261470
0.010000,2.862214,287.968211,2.874188,9.435897,17.871583,1.472683,6.260703
0.010000,2.958365,287.966011,2.970364,9.617634,18.173723,30.213937,6.259919
0.010000,3.056299,287.963693,3.068325,9.796096,17.846197,-32.752603,6.259118
0.010000,3.156015,287.961252,3.168071,9.974565,17.846857,0.066092,6.258301
0.010000,3.257512,287.958683,3.269601,10.153029,17.846378,-0.047983,6.257467
0.010000,3.360806,287.955982,3.372930,10.332906,17.987751,14.137326,6.256616
0.010000,3.465889,287.953144,3.478051,10.512140,17.923384,-6.436666,6.255747
