dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,300.000000,0.000029,0.005805,0.580465,58.046515,0.000999
0.010000,0.000000,300.000000,0.000145,0.017414,1.160930,58.046515,0.000998
0.010000,0.000000,300.000000,0.000406,0.034828,1.741395,58.046515,0.000996
0.010000,0.000000,300.000000,0.000871,0.058047,2.321861,58.046515,0.000993
0.010000,0.000000,300.000000,0.001596,0.087070,2.902326,58.046515,0.000988
0.010000,0.000000,300.000000,0.002641,0.121898,3.482791,58.046515,0.000981
0.010000,0.000000,300.000000,0.004063,0.162530,4.063256,58.046515,0.000971
0.010000,0.000000,300.000000,0.005921,0.208967,4.643721,58.046515,0.000958
0.010000,0.000000,300.000000,0.008272,0.261209,5.224186,58.046515,0.000942
0.010000,0.000000,300.000000,0.011174,0.319256,5.804652,58.046515,0.000922
0.010000,0.000000,300.000000,0.014686,0.383107,6.385117,58.046515,0.000897
0.010000,0.000000,300.000000,0.018865,0.452763,6.965582,58.046515,0.000868
0.010000,0.000000,300.000000,0.023770,0.528223,7.546047,58.046515,0.000834
0.010000,0.000000,300.000000,0.029459,0.609488,8.126512,58.046515,0.000795
0.010000,0.000000,300.000000,0.035989,0.696558,8.706977,58.046515,0.000750
0.010000,0.000000,300.000000,0.043419,0.789433,9.287442,58.046515,0.000698
0.010000,0.000000,300.000000,0.051807,0.888112,9.867908,58.046515,0.000640
0.010000,0.000000,300.000000,0.061210,0.992595,10.448373,58.046515,0.000575
0.010000,0.000000,300.000000,0.071687,1.102884,11.028838,58.046515,0.000502
0.010000,0.000000,300.000000,0.083297,1.218977,11.609303,58.046515,0.000421
0.010000,0.000000,300.000000,0.096096,1.340875,12.189768,58.046515,0.000333
0.010000,0.000000,300.000000,0.110143,1.468577,12.770233,58.046515,0.000235
0.010000,0.000000,300.000000,0.125497,1.602084,13.350699,58.046515,0.000128
0.010000,0.000000,300.000000,0.142214,1.741395,13.931164,58.046515,0.000012
0.010000,0.016361,299.999999,0.160353,1.886512,14.511629,58.046515,6.283072
0.010000,0.035987,299.999996,0.179973,2.037433,15.092094,58.046515,6.282935
0.010000,0.057148,299.999989,0.201131,2.194158,15.672559,58.046515,6.282788
0.010000,0.079903,299.999978,0.223885,2.356689,16.253024,58.046515,6.282630
0.010000,0.104308,299.999962,0.248294,2.525023,16.833489,58.046515,6.282460
0.010000,0.130392,299.999941,0.274386,2.693358,16.833489,0.000000,6.282279
0.010000,0.158168,299.999913,0.302161,2.861693,16.833489,0.000000,6.282085
0.010000,0.187635,299.999878,0.331620,3.030028,16.833489,-0.000000,6.281880
0.010000,0.218780,299.999834,0.362762,3.198363,16.833489,0.000000,6.281663
0.010000,0.251600,299.999780,0.395587,3.366698,16.833489,0.000000,6.281433
0.010000,0.286096,299.999715,0.430096,3.535033,16.833489,0.000000,6.281193
0.010000,0.322300,299.999639,0.466288,3.703368,16.833489,-0.000000,6.280940
0.010000,0.360181,299.999548,0.504163,3.871703,16.833489,0.000000,6.280675
0.010000,0.399733,299.999444,0.543722,4.040037,16.833489,0.000000,6.280398
0.010000,0.440968,299.999323,0.584964,4.208372,16.833489,-0.000000,6.280109
0.010000,0.483905,299.999184,0.627889,4.376707,16.833489,0.000000,6.279808
0.010000,0.528512,299.999027,0.672498,4.545042,16.833489,0.000000,6.279495
0.010000,0.574788,299.998848,0.718790,4.713377,16.833489,-0.000000,6.279170
0.010000,0.622779,299.998647,0.766765,4.881712,16.833489,0.000000,6.278832
0.010000,0.672437,299.998423,0.816424,5.050047,16.833489,-0.000000,6.278483
0.010000,0.723766,299.998172,0.867766,5.218382,16.833489,0.000000,6.278121
0.010000,0.776805,299.997893,0.920792,5.386717,16.833489,-0.000000,6.277747
0.010000,0.831508,299.997585,0.975501,5.555052,16.833489,0.000000,6.277361
0.010000,0.887898,299.997246,1.031893,5.723386,16.833489,-0.000000,6.276962
0.010000,0.945979,299.996872,1.089968,5.891721,16.833489,0.000000,6.276551
0.010000,1.005720,299.996463,1.149727,6.060056,16.833489,-0.000000,6.276127
0.010000,1.067177,299.996016,1.211170,6.228391,16.833489,0.000000,6.275691
0.010000,1.130291,299.995529,1.274295,6.396726,16.833489,0.000000,6.275243
0.010000,1.195106,299.994999,1.339104,6.565061,16.833489,-0.000000,6.274781
0.010000,1.261591,299.994425,1.405596,6.733396,16.833489,0.000000,6.274308
0.010000,1.329767,299.993803,1.473772,6.901731,16.833489,-0.000000,6.273821
0.010000,1.399621,299.993131,1.543631,7.070066,16.833489,0.000000,6.273322
0.010000,1.471161,299.992407,1.615173,7.238400,16.833489,-0.000000,6.272810
0.010000,1.544381,299.991628,1.688399,7.406735,16.833489,0.000000,6.272285
0.010000,1.619288,299.990792,1.763308,7.575070,16.833489,0.000000,6.271747
0.010000,1.695869,299.989895,1.839900,7.743405,16.833489,-0.000000,6.271197
0.010000,1.774147,299.988934,1.918176,7.911740,16.833489,0.000000,6.270633
0.010000,1.854085,299.987908,1.998135,8.080075,16.833489,-0.000000,6.270056
0.010000,1.935735,299.986811,2.079778,8.248410,16.833489,0.000000,6.269466
0.010000,2.019042,299.985643,2.163103,8.416745,16.833489,0.000000,6.268863
0.010000,2.104049,299.984400,2.248113,8.585080,16.833489,0.000000,6.268247
0.010000,2.190733,299.983077,2.334805,8.753415,16.833489,0.000000,6.267617
0.010000,2.279085,299.981673,2.423181,8.921749,16.833489,0.000000,6.266974
0.010000,2.369146,299.980184,2.513240,9.090084,16.833489,0.000000,6.266317
0.010000,2.460871,299.978605,2.604982,9.258419,16.833489,-0.000000,6.265647
0.010000,2.554275,299.976935,2.698408,9.426754,16.833489,0.000000,6.264963
0.010000,2.649379,299.975169,2.793518,9.595089,16.833489,0.000000,6.264265
0.010000,2.746149,299.973303,2.890310,9.763424,16.833489,0.000000,6.263554
0.010000,2.844595,299.971335,2.988786,9.931759,16.833489,-0.000000,6.262829
0.010000,2.944746,299.969259,3.088945,10.100094,16.833489,0.000000,6.262089
0.010000,3.046566,299.967072,3.190788,10.268429,16.833489,0.000000,6.261336
0.010000,3.150057,299.964771,3.294314,10.436763,16.833489,-0.000000,6.260569
0.010000,3.255239,299.962350,3.399523,10.605098,16.833489,0.000000,6.259787
0.010000,3.362110,299.959807,3.506416,10.773433,16.833489,0.000000,6.258991
0.010000,3.470653,299.957136,3.614992,10.941768,16.833489,0.000000,6.258181
0.010000,3.580871,299.954334,3.725251,11.110103,16.833489,-0.000000,6.257356
0.010000,3.692766,299.951396,3.837194,11.278438,16.833489,0.000000,6.256517
0.010000,3.806360,299.948318,3.950820,11.446773,16.833489,0.000000,6.255663
0.010000,3.921630,299.945094,4.066129,11.615108,16.833489,0.000000,6.254794
0.010000,4.038574,299.941722,4.183122,11.783443,16.833489,0.000000,6.253910
0.010000,4.157195,299.938195,4.301798,11.951778,16.833489,-0.000000,6.253012
0.010000,4.277493,299.934509,4.422158,12.120112,16.833489,0.000000,6.252098
