dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.011986,311.999994,0.000030,0.005947,0.594707,59.470737,0.000999
0.010000,-0.011979,311.999994,0.000037,0.000712,-0.523485,-111.819238,0.000998
0.010000,-0.011963,311.999994,0.000053,0.001603,0.089028,61.251327,0.000997
0.010000,-0.011935,311.999994,0.000081,0.002849,0.124640,3.561217,0.000995
0.010000,-0.011890,311.999994,0.000126,0.004451,0.160254,3.561350,0.000991
0.010000,-0.011826,311.999994,0.000190,0.006410,0.195870,3.561568,0.000985
0.010000,-0.011739,311.999994,0.000277,0.008725,0.231489,3.561891,0.000978
0.010000,-0.011625,311.999994,0.000391,0.011396,0.267112,3.562342,0.000969
0.010000,-0.011481,311.999995,0.000535,0.014424,0.302741,3.562941,0.000957
0.010000,-0.011302,311.999995,0.000714,0.017807,0.338378,3.563709,0.000942
0.010000,-0.011087,311.999995,0.000929,0.021548,0.374025,3.564668,0.000924
0.010000,-0.010831,311.999995,0.001185,0.025644,0.409683,3.565839,0.000903
0.010000,-0.010530,311.999995,0.001486,0.030098,0.445356,3.567243,0.000877
0.010000,-0.010180,311.999996,0.001835,0.034908,0.481045,3.568902,0.000848
0.010000,-0.009780,311.999996,0.002236,0.040076,0.516753,3.570836,0.000815
0.010000,-0.009324,311.999996,0.002692,0.045601,0.552484,3.573068,0.000777
0.010000,-0.008809,311.999997,0.003207,0.051483,0.588240,3.575618,0.000734
0.010000,-0.008232,311.999997,0.003784,0.057723,0.624025,3.578507,0.000686
0.010000,-0.007588,311.999998,0.004428,0.064322,0.659843,3.581758,0.000632
0.010000,-0.006876,311.999998,0.005140,0.071279,0.695697,3.585392,0.000573
0.010000,-0.006090,311.999998,0.005926,0.078595,0.731591,3.589430,0.000507
0.010000,-0.005227,311.999999,0.006789,0.086270,0.767530,3.593894,0.000436
0.010000,-0.004284,311.999999,0.007732,0.094305,0.803518,3.598806,0.000357
0.010000,-0.003257,312.000000,0.008759,0.102701,0.839560,3.604187,0.000271
0.010000,-0.002142,312.000000,0.009874,0.111457,0.875660,3.610059,0.000179
0.010000,-0.000937,312.000000,0.011079,0.120576,0.911825,3.616444,0.000078
0.010000,0.006433,312.000000,0.018449,0.736979,61.640319,6072.849437,6.283155
0.010000,0.031155,311.999998,0.043171,2.472182,173.520276,11187.995674,6.283038
0.010000,0.057672,311.999992,0.069688,2.651653,17.947165,-15557.311119,6.282913
0.010000,0.086045,311.999983,0.098061,2.837374,18.572063,62.489864,6.282779
0.010000,0.116339,311.999968,0.128355,3.029337,19.196287,62.422306,6.282636
0.010000,0.148614,311.999948,0.160630,3.227535,19.819788,62.350131,6.282484
0.010000,0.182934,311.999921,0.194950,3.431960,20.442520,62.273190,6.282321
0.010000,0.219367,311.999886,0.231383,3.643349,21.138945,69.642541,6.282149
0.010000,0.258000,311.999843,0.270016,3.863320,21.997063,85.811763,6.281966
0.010000,0.298866,311.999789,0.310882,4.086598,22.327851,33.078858,6.281773
0.010000,0.342027,311.999724,0.354043,4.316075,22.947608,61.975707,6.281568
0.010000,0.387544,311.999645,0.399560,4.551738,23.566334,61.872560,6.281353
0.010000,0.435460,311.999552,0.447476,4.791607,23.986900,42.056638,6.281125
0.010000,0.485800,311.999442,0.497817,5.034011,24.240398,25.349776,6.280886
0.010000,0.538527,311.999314,0.550543,5.272661,23.865006,-37.539267,6.280636
0.010000,0.593638,311.999167,0.605655,5.511163,23.850190,-1.481568,6.280374
0.010000,0.651149,311.998997,0.663166,5.751103,23.994030,14.384004,6.280100
0.010000,0.711085,311.998804,0.723103,5.993685,24.258198,26.416803,6.279815
0.010000,0.773404,311.998584,0.785422,6.231939,23.825423,-43.277444,6.279518
0.010000,0.838104,311.998337,0.850122,6.470019,23.807925,-1.749888,6.279210
0.010000,0.905241,311.998059,0.917260,6.713777,24.375880,56.795554,6.278889
0.010000,0.974766,311.997749,0.986786,6.952572,23.879467,-49.641330,6.278557
0.010000,1.046669,311.997404,1.058689,7.190322,23.775029,-10.443771,6.278213
0.010000,1.121010,311.997021,1.133031,7.434188,24.386530,61.150099,6.277858
0.010000,1.197737,311.996598,1.209760,7.672877,23.868924,-51.760569,6.277490
0.010000,1.276846,311.996133,1.288870,7.911038,23.816113,-5.281105,6.277111
0.010000,1.358400,311.995621,1.370425,8.155525,24.448702,63.258895,6.276719
0.010000,1.442325,311.995062,1.454352,8.392670,23.714457,-73.424494,6.276316
0.010000,1.528667,311.994451,1.540697,8.634473,24.180382,46.592457,6.275900
0.010000,1.617416,311.993785,1.629448,8.875113,24.063981,-11.640118,6.275473
0.010000,1.708549,311.993062,1.720584,9.113583,23.846941,-21.703950,6.275033
0.010000,1.802121,311.992278,1.814159,9.357513,24.393030,54.608874,6.274581
0.010000,1.898056,311.991431,1.910098,9.593882,23.636878,-75.615160,6.274117
0.010000,1.996447,311.990515,2.008493,9.839531,24.564965,92.808613,6.273641
0.010000,2.097201,311.989529,2.109252,10.075871,23.633957,-93.100792,6.273153
0.010000,2.200401,311.988468,2.212457,10.320559,24.468774,83.481755,6.272652
0.010000,2.305971,311.987328,2.318034,10.557678,23.711972,-75.680262,6.272138
0.010000,2.413988,311.986107,2.426058,10.802357,24.467842,75.587000,6.271612
0.010000,2.524373,311.984799,2.536450,11.039249,23.689200,-77.864192,6.271074
0.010000,2.637213,311.983402,2.649299,11.284871,24.562200,87.299992,6.270523
0.010000,2.752420,311.981910,2.764515,11.521654,23.678306,-88.389306,6.269960
0.010000,2.870078,311.980320,2.882184,11.766918,24.526457,84.815074,6.269383
0.010000,2.990120,311.978628,3.002238,12.005389,23.847058,-67.939910,6.268794
0.010000,3.112586,311.976829,3.124717,12.247894,24.250452,40.339349,6.268192
0.010000,3.237468,311.974918,3.249614,12.489702,24.180838,-6.961364,6.267578
0.010000,3.364737,311.972891,3.376899,12.728438,23.873562,-30.727590,6.266950
0.010000,3.494464,311.970743,3.506644,12.974537,24.609921,73.635937,6.266309
0.010000,3.626578,311.968470,3.638777,13.213288,23.875153,-73.476812,6.265655
0.010000,3.761106,311.966067,3.773327,13.455045,24.175621,30.046786,6.264989
0.010000,3.898073,311.963528,3.910318,13.699053,24.400865,22.524401,6.264308
0.010000,4.037434,311.960848,4.049704,13.938618,23.956488,-44.437731,6.263615
0.010000,4.179217,311.958023,4.191515,14.181088,24.247041,29.055267,6.262908
0.010000,4.323438,311.955046,4.335767,14.425187,24.409863,16.282223,6.262187
0.010000,4.470059,311.951913,4.482422,14.665503,24.031602,-37.826102,6.261454
0.010000,4.619087,311.948619,4.631486,14.906380,24.087647,5.604515,6.260706
0.010000,4.770575,311.945155,4.783013,15.152750,24.637013,54.936590,6.259945
0.010000,4.924469,311.941518,4.936951,15.393754,24.100437,-53.657595,6.259170
0.010000,5.080773,311.937702,5.093301,15.635060,24.130574,3.013735,6.258381
