dt,x,y,position,velocity,acceleration,jerk,heading
0.01,0.00120,-12.0,0.0,0,0,-0.0003,0
0.01,0.03360,-12.0,0.03120,0.2586,25.6013,-0.0053,-0.0051
0.01,0.11880,-12.0,0.11760,0.7218,46.5605,-0.0235,-0.0233
0.01,0.26280,-12.0,0.26160,1.1911,46.7309,-0.0594,-0.0592
0.01,0.45960,-12.0,0.45840,1.6581,47.0918,-0.1131,-0.1128
0.01,0.71640,-12.00120,0.71400,2.1265,46.6687,-0.1848,-0.1846
0.01,1.02720,-12.00240,1.02600,2.5944,46.8153,-0.2751,-0.2749
0.01,1.39320,-12.00600,1.3920,3.0611,46.8334,-0.3836,-0.3833
0.01,1.81800,-12.00960,1.81560,3.5285,46.6768,-0.511,-0.5108
0.01,2.29680,-12.01440,2.29560,3.9951,46.6138,-0.6579,-0.6576
0.01,2.8320,-12.02280,2.83080,4.4612,46.6019,-0.8242,-0.8239
0.01,3.42240,-12.03240,3.42120,4.9259,46.5308,-1.0103,-1.01
0.01,4.06920,-12.04680,4.0680,5.3901,46.4355,-1.2169,-1.2166
0.01,4.77120,-12.06480,4.77000,5.853,46.3076,-1.4446,-1.4443
0.01,5.52840,-12.08760,5.52720,6.3147,46.2116,-1.6939,-1.6936
0.01,6.34080,-12.11520,6.34080,6.7758,46.1018,-1.9657,-1.9654
0.01,7.20840,-12.15000,7.20840,7.2352,45.9359,-2.2607,-2.2604
0.01,8.13120,-12.19080,8.13240,7.6938,45.8101,-2.58,-2.5797
0.01,9.1080,-12.24120,9.11040,8.1498,45.6042,-2.9242,-2.9239
0.01,10.13880,-12.30120,10.14240,8.6046,45.4991,-3.2941,-3.2939
0.01,11.22360,-12.37080,11.22960,9.0574,45.2834,-3.6912,-3.6909
0.01,12.36120,-12.45360,12.37080,9.5076,45.035,-4.1166,-4.1164
0.01,13.55160,-12.54960,13.56480,9.9561,44.8388,-4.5717,-4.5715
0.01,14.79480,-12.6600,14.81280,10.4015,44.549,-5.0579,-5.0577
0.01,16.08960,-12.78600,16.11480,10.8446,44.315,-5.5768,-5.5765
0.01,17.43720,-12.93120,17.46960,11.2848,44.0073,-6.1301,-6.1299
0.01,18.83400,-13.09680,18.8760,11.7213,43.6453,-6.7198,-6.7195
