dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.333854,63.500934,0.000583,0.058292,2.914593,145.729627,0.000062
0.020000,6.333854,63.500934,0.002915,0.174876,5.829185,145.729627,0.000059
0.020000,6.333854,63.500934,0.008161,0.349751,8.743778,145.729627,0.000053
0.020000,6.333854,63.500934,0.017488,0.582919,11.658370,145.729627,0.000041
0.020000,6.333854,63.500934,0.032061,0.874378,14.572963,145.729627,0.000024
0.020000,6.335281,63.500934,0.053046,1.224129,17.487555,145.729627,6.283184
0.020000,6.363844,63.500934,0.081609,1.632172,20.402148,145.729627,6.283149
0.020000,6.401151,63.500932,0.118915,2.098507,23.316740,145.729627,6.283104
0.020000,6.448367,63.500927,0.166132,2.623133,26.231333,145.729627,6.283047
0.020000,6.506659,63.500916,0.224424,3.206052,29.145925,145.729627,6.282977
0.020000,6.577192,63.500899,0.294957,3.847262,32.060518,145.729627,6.282893
0.020000,6.661133,63.500870,0.378897,4.546764,34.975110,145.729627,6.282793
0.020000,6.759646,63.500826,0.477410,5.304558,37.889703,145.729627,6.282676
0.020000,6.873898,63.500760,0.591662,6.120644,40.804295,145.729627,6.282542
0.020000,7.005054,63.500665,0.722819,6.995022,43.718888,145.729627,6.282388
0.020000,7.154281,63.500533,0.872046,7.927692,46.633481,145.729627,6.282216
0.020000,7.322745,63.500354,1.040510,8.918653,49.548073,145.729627,6.282022
0.020000,7.511027,63.500115,1.228792,9.909615,49.548073,-0.000000,6.281809
0.020000,7.719129,63.499804,1.436894,10.900576,49.548073,0.000000,6.281576
0.020000,7.947050,63.499408,1.664815,11.891538,49.548073,0.000000,6.281324
0.020000,8.194790,63.498914,1.912556,12.882499,49.548073,0.000000,6.281054
0.020000,8.462349,63.498305,2.180115,13.873460,49.548073,0.000000,6.280768
0.020000,8.749726,63.497566,2.467494,14.864422,49.548073,-0.000000,6.280466
0.020000,9.056923,63.496682,2.774692,15.855383,49.548073,-0.000000,6.280149
0.020000,9.383939,63.495635,3.101709,16.846345,49.548073,0.000000,6.279820
0.020000,9.730773,63.494408,3.448546,17.837306,49.548073,0.000000,6.279478
0.020000,10.097426,63.492985,3.815202,18.828268,49.548073,-0.000000,6.279127
0.020000,10.483898,63.491346,4.201677,19.819229,49.548073,0.000000,6.278766
0.020000,10.890188,63.489476,4.607971,20.810191,49.548073,0.000000,6.278399
0.020000,11.316296,63.487356,5.034084,21.801152,49.548073,-0.000000,6.278026
0.020000,11.762222,63.484971,5.480017,22.792114,49.548073,0.000000,6.277649
0.020000,12.227966,63.482304,5.945769,23.783075,49.548073,-0.000000,6.277271
0.020000,12.713528,63.479340,6.431340,24.774037,49.548073,0.000000,6.276893
0.020000,13.218908,63.476064,6.936730,25.764998,49.548073,0.000000,6.276517
0.020000,13.744105,63.472463,7.461940,26.755959,49.548073,-0.000000,6.276145
0.020000,14.289120,63.468526,8.006969,27.746921,49.548073,0.000000,6.275780
0.020000,14.853952,63.464241,8.571817,28.737882,49.548073,-0.000000,6.275423
0.020000,15.438600,63.459601,9.156484,29.728844,49.548073,0.000000,6.275078
0.020000,16.043066,63.454599,9.760970,30.719805,49.548073,-0.000000,6.274746
0.020000,16.667349,63.449230,10.385276,31.710767,49.548073,0.000000,6.274431
0.020000,17.311448,63.443494,11.029401,32.701728,49.548073,0.000000,6.274134
0.020000,17.975364,63.437391,11.693345,33.692690,49.548073,-0.000000,6.273858
0.020000,18.659097,63.430926,12.377109,34.683651,49.548073,0.000000,6.273607
0.020000,19.362647,63.424107,13.080691,35.674613,49.548073,0.000000,6.273383
0.020000,20.086013,63.416943,13.804093,36.665574,49.548073,-0.000000,6.273189
0.020000,20.829197,63.409451,14.547314,37.656536,49.548073,0.000000,6.273028
0.020000,21.592197,63.401650,15.310355,38.647497,49.548073,0.000000,6.272902
0.020000,22.375015,63.393564,16.093214,39.638458,49.548073,-0.000000,6.272817
0.020000,23.177650,63.385221,16.895893,40.629420,49.548073,0.000000,6.272774
0.020000,24.000104,63.376656,17.718391,41.620381,49.548073,-0.000000,6.272776
0.020000,24.842375,63.367907,18.560708,42.611343,49.548073,0.000000,6.272829
0.020000,25.704466,63.359020,19.422845,43.602304,49.548073,0.000000,6.272934
0.020000,26.586376,63.350046,20.304800,44.593266,49.548073,0.000000,6.273096
0.020000,27.488106,63.341043,21.206575,45.584227,49.548073,0.000000,6.273317
0.020000,28.409657,63.332076,22.128169,46.575189,49.548073,-0.000000,6.273603
0.020000,29.351028,63.323217,23.069583,47.566150,49.548073,-0.000000,6.273957
0.020000,30.312222,63.314546,24.030815,48.557112,49.548073,0.000000,6.274383
0.020000,31.293238,63.306151,25.011867,49.548073,49.548073,0.000000,6.274884
0.020000,32.294077,63.298127,26.012738,50.539035,49.548073,0.000000,6.275465
0.020000,33.314739,63.290581,27.033429,51.529996,49.548073,-0.000000,6.276131
0.020000,34.355225,63.283626,28.073938,52.520957,49.548073,0.000000,6.276884
0.020000,35.415536,63.277386,29.134267,53.511919,49.548073,0.000000,6.277731
0.020000,36.495670,63.271997,30.214415,54.502880,49.548073,0.000000,6.278674
0.020000,37.595629,63.267602,31.314382,55.493842,49.548073,0.000000,6.279720
0.020000,38.715410,63.264358,32.434169,56.484803,49.548073,-0.000000,6.280872
0.020000,39.855014,63.262433,33.573774,57.475765,49.548073,0.000000,6.282134
0.020000,41.014439,63.262004,34.733199,58.466726,49.548073,-0.000000,0.000327
0.020000,42.193682,63.263264,35.912443,59.457688,49.548073,0.000000,0.001826
0.020000,43.392741,63.266418,37.111507,60.448649,49.548073,-0.000000,0.003451
0.020000,44.611612,63.271683,38.330389,61.439611,49.548073,-0.000000,0.005206
0.020000,45.850291,63.279292,39.569091,62.430572,49.548073,0.000000,0.007097
0.020000,47.108770,63.289489,40.827612,63.421534,49.548073,0.000000,0.009128
0.020000,48.387044,63.302537,42.105952,64.412495,49.548073,0.000000,0.011305
0.020000,49.685102,63.318711,43.404112,65.403456,49.548073,0.000000,0.013634
0.020000,51.002935,63.338304,44.722091,66.394418,49.548073,0.000000,0.016119
0.020000,52.340529,63.361624,46.059889,67.385379,49.548073,-0.000000,0.018766
0.020000,53.697870,63.388995,47.417506,68.376341,49.548073,0.000000,0.021581
0.020000,55.074940,63.420761,48.794942,69.367302,49.548073,0.000000,0.024568
0.020000,56.471717,63.457281,50.192198,70.358264,49.548073,0.000000,0.027735
0.020000,57.888179,63.498934,51.609273,71.349225,49.548073,0.000000,0.031085
0.020000,59.202908,63.546392,53.045584,72.281895,46.633481,-145.729627,0.041477
0.020000,60.655634,63.615565,54.499966,73.156273,43.718888,-145.729627,0.053752
0.020000,62.124244,63.703992,55.971252,73.972358,40.804295,-145.729627,0.066600
0.020000,63.607264,63.812867,57.458277,74.730153,37.889703,-145.729627,0.080044
0.020000,65.103163,63.943393,58.959875,75.429655,34.975110,-145.729627,0.094110
0.020000,66.610379,64.096782,60.474880,76.070865,32.060518,-145.729627,0.108821
0.020000,68.127258,64.274247,62.002127,76.653784,29.145925,-145.729627,0.124202
0.020000,69.652147,64.477004,63.540449,77.178410,26.231333,-145.729627,0.140278
0.020000,71.183288,64.706257,65.088680,77.644745,23.316740,-145.729627,0.157073
