dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.334597,51.500935,0.000583,0.058292,2.914593,145.729627,0.000062
0.020000,6.334563,51.500935,0.000617,0.001699,-2.829651,-287.212170,0.000059
0.020000,6.334486,51.500935,0.000693,0.003822,0.106135,146.789299,0.000053
0.020000,6.334350,51.500934,0.000829,0.006791,0.148472,2.116834,0.000041
0.020000,6.334138,51.500934,0.001041,0.010604,0.190628,2.107832,0.000024
0.020000,6.335260,51.500934,0.002163,0.056101,2.274898,104.213456,6.283184
0.020000,6.363409,51.500934,0.030312,1.407419,67.565861,3264.548193,6.283149
0.020000,6.400175,51.500932,0.067078,1.838313,21.544717,-2301.057212,6.283104
0.020000,6.446709,51.500927,0.113612,2.326699,24.419308,143.729542,6.283047
0.020000,6.504161,51.500917,0.171064,2.872598,27.294940,143.781581,6.282977
0.020000,6.573682,51.500899,0.240585,3.476035,30.171871,143.846548,6.282893
0.020000,6.656422,51.500871,0.323325,4.137043,33.050387,143.925841,6.282793
0.020000,6.753536,51.500827,0.420439,4.855659,35.930806,144.020946,6.282676
0.020000,6.866174,51.500762,0.533077,5.631929,38.813471,144.133229,6.282542
0.020000,6.995492,51.500669,0.662395,6.465904,41.698756,144.264259,6.282388
0.020000,7.142645,51.500539,0.809548,7.357645,44.587059,144.415168,6.282216
0.020000,7.308789,51.500362,0.975693,8.307221,47.478817,144.587886,6.282022
0.020000,7.494508,51.500126,1.161412,9.285960,48.936913,72.904805,6.281809
0.020000,7.699812,51.499819,1.366715,10.265171,48.960549,1.181800,6.281576
0.020000,7.924709,51.499429,1.591613,11.244904,48.986673,1.306173,6.281324
0.020000,8.169213,51.498941,1.836117,12.225210,49.015287,1.430715,6.281054
0.020000,8.433335,51.498340,2.100240,13.206138,49.046384,1.554869,6.280768
0.020000,8.717089,51.497611,2.383995,14.187737,49.079977,1.679617,6.280466
0.020000,9.020489,51.496737,2.687396,15.170058,49.116052,1.803784,6.280149
0.020000,9.343550,51.495703,3.010459,16.153150,49.154620,1.928369,6.279820
0.020000,9.686289,51.494491,3.353200,17.137064,49.195670,2.052510,6.279478
0.020000,10.048724,51.493083,3.715637,18.121848,49.239215,2.177253,6.279127
0.020000,10.430871,51.491463,4.097788,19.107553,49.285239,2.301213,6.278766
0.020000,10.832752,51.489613,4.499673,20.094228,49.333761,2.426101,6.278399
0.020000,11.254385,51.487516,4.921311,21.081923,49.384761,2.549976,6.278026
0.020000,11.695792,51.485155,5.362725,22.070689,49.438255,2.674701,6.277649
0.020000,12.156996,51.482514,5.823937,23.060573,49.494227,2.798616,6.277271
