dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,62.000000,0.000012,0.002483,0.248330,24.833002,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,-0.248330,-49.666004,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,24.833002,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,62.000000,0.000012,0.000000,0.000000,0.000000,0.000000
0.010000,0.003689,62.000000,0.003701,0.368895,36.889498,3688.949801,0.000000
0.010000,0.010841,62.000000,0.010853,0.715190,34.629547,-225.995096,0.000000
0.010000,0.018601,62.000000,0.018614,0.776031,6.084085,-2854.546162,0.000000
0.010000,0.026995,62.000000,0.027007,0.839355,6.332415,24.833002,0.000000
0.010000,0.036046,62.000000,0.036059,0.905163,6.580745,24.833002,0.000000
0.010000,0.045781,62.000000,0.045793,0.973454,6.829075,24.833002,0.000000
0.010000,0.056223,62.000000,0.056236,1.044228,7.077406,24.833002,0.000000
