dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,38.000000,0.000029,0.005862,0.586217,58.621697,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,-0.586217,-117.243394,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,58.621697,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,38.000000,0.000029,0.000000,0.000000,0.000000,0.000000
0.010000,0.001441,38.000000,0.001470,0.144054,14.405392,1440.539188,0.000000
0.010000,0.010204,38.000000,0.010234,0.876394,73.234045,5882.865337,0.000000
0.010000,0.019731,38.000000,0.019760,0.952603,7.620821,-6561.322463,0.000000
0.010000,0.030019,38.000000,0.030048,1.028811,7.620821,-0.000000,0.000000
0.010000,0.041069,38.000000,0.041098,1.105019,7.620821,0.000000,0.000000
0.010000,0.052881,38.000000,0.052910,1.181227,7.620821,0.000000,0.000000
0.010000,0.065455,38.000000,0.065485,1.257435,7.620821,-0.000000,0.000000
0.010000,0.078792,38.000000,0.078821,1.333644,7.620821,0.000000,0.000000
0.010000,0.092890,38.000000,0.092920,1.409852,7.620821,0.000000,0.000000
0.010000,0.107751,38.000000,0.107780,1.486060,7.620821,-0.000000,0.000000
0.010000,0.123374,38.000000,0.123403,1.562268,7.620821,0.000000,0.000000
0.010000,0.139758,38.000000,0.139788,1.638476,7.620821,-0.000000,0.000000
