dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,50.000000,0.000218,0.021774,1.088689,54.434433,0.000000
0.020000,0.000000,50.000000,0.001089,0.065321,2.177377,54.434433,0.000000
0.020000,0.000000,50.000000,0.003048,0.130643,3.266066,54.434433,0.000000
0.020000,0.000000,50.000000,0.006532,0.217738,4.354755,54.434433,0.000000
0.020000,0.000000,50.000000,0.011976,0.326607,5.443443,54.434433,0.000000
0.020000,0.000000,50.000000,0.019814,0.457249,6.532132,54.434433,0.000000
0.020000,0.000000,50.000000,0.030483,0.609666,7.620821,54.434433,0.000000
0.020000,0.000000,50.000000,0.044201,0.762082,7.620821,0.000000,0.000000
0.020000,0.010967,50.000000,0.060967,0.914498,7.620821,0.000000,0.000000
0.020000,0.030781,50.000000,0.080781,1.066915,7.620821,0.000000,0.000000
0.020000,0.053643,50.000000,0.103643,1.219331,7.620821,-0.000000,0.000000
0.020000,0.079554,50.000000,0.129554,1.371748,7.620821,0.000000,0.000000
0.020000,0.108513,50.000000,0.158513,1.524164,7.620821,0.000000,0.000000
0.020000,0.140521,50.000000,0.190521,1.676581,7.620821,-0.000000,0.000000
0.020000,0.175576,50.000000,0.225576,1.828997,7.620821,0.000000,0.000000
0.020000,0.213680,50.000000,0.263680,1.981413,7.620821,-0.000000,0.000000
0.020000,0.254833,50.000000,0.304833,2.133830,7.620821,0.000000,0.000000
0.020000,0.299034,50.000000,0.349034,2.286246,7.620821,-0.000000,0.000000
0.020000,0.346283,50.000000,0.396283,2.438663,7.620821,0.000000,0.000000
0.020000,0.396580,50.000000,0.446580,2.591079,7.620821,0.000000,0.000000
0.020000,0.449926,50.000000,0.499926,2.743495,7.620821,-0.000000,0.000000
0.020000,0.506320,50.000000,0.556320,2.895912,7.620821,0.000000,0.000000
0.020000,0.565762,50.000000,0.615762,3.048328,7.620821,-0.000000,0.000000
0.020000,0.628253,50.000000,0.678253,3.200745,7.620821,0.000000,0.000000
0.020000,0.693792,50.000000,0.743792,3.353161,7.620821,-0.000000,0.000000
0.020000,0.762379,50.000000,0.812379,3.505577,7.620821,0.000000,0.000000
0.020000,0.834015,50.000000,0.884015,3.657994,7.620821,-0.000000,0.000000
0.020000,0.908699,50.000000,0.958699,3.810410,7.620821,0.000000,0.000000
0.020000,0.986432,50.000000,1.036432,3.962827,7.620821,-0.000000,0.000000
0.020000,1.067212,50.000000,1.117212,4.115243,7.620821,0.000000,0.000000
0.020000,1.151041,50.000000,1.201041,4.267660,7.620821,0.000000,0.000000
0.020000,1.237919,50.000000,1.287919,4.420076,7.620821,-0.000000,0.000000
0.020000,1.327844,50.000000,1.377844,4.572492,7.620821,0.000000,0.000000
0.020000,1.420818,50.000000,1.470818,4.724909,7.620821,-0.000000,0.000000
0.020000,1.516841,50.000000,1.566841,4.877325,7.620821,0.000000,0.000000
0.020000,1.615911,50.000000,1.665911,5.029742,7.620821,0.000000,0.000000
0.020000,1.718030,50.000000,1.768030,5.182158,7.620821,0.000000,0.000000
0.020000,1.823198,50.000000,1.873198,5.334574,7.620821,-0.000000,0.000000
0.020000,1.931413,50.000000,1.981413,5.486991,7.620821,0.000000,0.000000
0.020000,2.042677,50.000000,2.092677,5.639407,7.620821,0.000000,0.000000
0.020000,2.156990,50.000000,2.206990,5.791824,7.620821,0.000000,0.000000
0.020000,2.274350,50.000000,2.324350,5.944240,7.620821,-0.000000,0.000000
0.020000,2.394759,50.000000,2.444759,6.096656,7.620821,0.000000,0.000000
0.020000,2.518217,50.000000,2.568217,6.249073,7.620821,0.000000,0.000000
